FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;VEHICLE DISTANCE IN METRES, AUTOBAHN/FREEWAY;;;1A;VEHICLE DISTANCE IN METRES, AUTOBAHN FREEWAY;DISTAUT;1052/17;1-4;O
2;VEHICLE DISTANCE IN METRES, OTHER ROADS;;;2A;VEHICLE DISTANCE IN METRES, OTHER ROADS;DISTOTH;1052/18;1-4;O
3;AVERAGE SPEED IN KILOMETRES PER HOUR, AUTOBAHNEN/FREEWAYS;;;3A;AVERAGE SPEED IN KILOMETRES PER HOUR, AUTOBAHNEN FREEWAYS;SPEEDAUT;1267/3;1-2;O
4;AVERAGE SPEED IN KILOMETRES PER HOUR, OTHER ROADS;;;4A;AVERAGE SPEED IN KILOMETRES PER HOUR, OTHER ROADS;SPEEDOTH;1267/4;1-2;O
5;COLUMN LENGTH, AUTOBAHNEN/FREEWAYS;;;5A;COLUMN LENGTH, AUTOBAHNEN/FREEWAYS;COLAUT;2309;2-8;M
6;COLUMN LENGTH, OTHER ROADS;;;6A;COLUMN LENGTH, OTHER ROADS;COLOTH;2309;2-8;M
7;PASS TIME IN MINUTES, AUTOBAHNEN/FREEWAYS;;;7A;PASS TIME IN MINUTES, AUTOBAHNEN FREEWAYS;PASSTAUT;1072/29;1-2;M
8;PASS TIME IN MINUTES, OTHER ROADS;;;8A;PASS TIME IN MINUTES, OTHER ROADS;PASSTOTH;1072/30;1-2;M
9;NUMBER OF MARCHING GROUPS;;;9A;NUMBER OF MARCHING GROUPS;MARGROUP;1044/382;1-3;O
10;NUMBER OF CONVOYS;;;10A;NUMBER OF CONVOYS;CONVOYS;1044/383;1-3;O
11;NUMBER OF PACKETS;;;11A;NUMBER OF PACKETS;PACKETS;1044/384;1-3;O
12;TIME IN MINUTES BETWEEN MARCHING GROUPS;;;12A;TIME IN MINUTES BETWEEN MARCHING GROUPS;TBMARGR;1072/26;1-2;O
