FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;UNIT IDENDIFIER;;;1A;UNIT IDENTIFICATION CODE (UIC);UIC;2141;1-20;M
;UNIT IDENDIFIER;;;1B;BASE IDENTIFICATION CODE;BIC;2141;;
;UNIT IDENDIFIER;;;1C;UNIT IDENTIFIER;UID;1028/1;;
;UNIT IDENDIFIER;;;1D;TASKED UNIT;TAS;1028/10;;
2;DAY-TIME AND MONTH OF START;;;2A;DAY-TIME AND MONTH OF START;;2030;10-10;M
3;DAY-TIME/MONTH RADAR SURVEILLANCE COVERAGE REQUIRED;;;3A;DAY-TIME/MONTH RADAR SURVEILLANCE COVERAGE REQUIRED;;2030;10-10;M
4;DEPLOYMENT LOCATION;;;4A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;O
;DEPLOYMENT LOCATION;;;4B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;DEPLOYMENT LOCATION;;;4C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;DEPLOYMENT LOCATION;;;4D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;DEPLOYMENT LOCATION;;;4E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;DEPLOYMENT LOCATION;;;4F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
