FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;MERCHANT VESSEL TYPE;;;1A;MERCHANT VESSEL TYPE;;1166/10;2-4;M
2;MERSHIP IDENTIFIER;;;2A;SHIP NAME;;1022/49;1-38;M
;MERSHIP IDENTIFIER;;;2B;NAME OF SHIP CLASS;CLASS;1022/35;;
3;NATIONALITY;;;3A;GEOGRAPHICAL ENTITY;;1026/1;2-2;M
4;POSITION;;;4A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;O
;POSITION;;;4B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;POSITION;;;4C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;POSITION;;;4D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;POSITION;;;4E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;POSITION;;;4F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;POSITION;;;4G;PLACE NAME;NAME;1022/170;;
5;DATE-TIME OF CONTACT;;;5A;DAY-TIME OF CONTACT;;2000;5-14;O
;DATE-TIME OF CONTACT;;;5B;DTG;;2033;;
;DATE-TIME OF CONTACT;;;5C;DAY-MONTH NAME;;2067;;
6;CONTACT MOVEMENT;;;6A;COURSE IN DEGREES TRUE AND SPEED IN KNOTS;;2025;2-6;O
;CONTACT MOVEMENT;;;6B;MOVEMENT ACTIVITY;;1095/4;;
7;CARGO INDICATOR;;;7A;CARGO INDICATOR;;1173/4;3-3;O
8;CONTACT VALIDITY;;;8A;CONTACT VALIDITY;;2049;2-2;O
