FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;FLIGHT LEVEL;;;1A;FLIGHT LEVEL;;2129;5-5;M
2;WIND DIRECTION;;;2A;WIND DIRECTION, DEGREES TRUE;;2261;3-4;M
;WIND DIRECTION;;;2B;WIND DIRECTION QUALIFIER;;1130/5;;
3;WIND SPEED, KNOTS;;;3A;WIND SPEED, KNOTS;;2265;4-7;M
4;VISIBILITY, METRES, KILOMETRES OR NAUTICAL MILES;;;4A;VISIBILITY, METRES, KILOMETRES OR NAUTICAL MILES;;2271;2-7;M
5;SIGNIFICANT WEATHER;;;5A;WMO SIGNIFICANT PRESENT AND FORECAST WEATHER CODES;WMO;1386/7;1-6;M
;SIGNIFICANT WEATHER;;;5B;MOST SIGNIFICANT WEATHER CODE;;1386/8;;
6;AMOUNT OF TURBULENCE;;;6A;AMOUNT OF TURBULENCE;;1386/3;3-3;M
7;CLOUD COVER;;;7A;CLOUD COVER;;1387/1;1-1;M
8;CLOUD TYPE;;;8A;CLOUD TYPE;;1388/1;2-2;M
9;CLOUD BASE ALTITUDE IN HUNDREDS OF FEET;;;9A;CLOUD BASE ALTITUDE IN HUNDREDS OF FEET;BASE;1255/6;1-3;M
10;CLOUD TOP ALTITUDE IN HUNDREDS OF FEET;;;10A;CLOUD TOP ALTITUDE IN HUNDREDS OF FEET;TOP;1255/7;1-3;M
11;TEMPERATURE, DEGREES CELSIUS OR FAHRENHEIT;;;11A;TEMPERATURE, DEGREES CELSIUS OR FAHRENHEIT;;2131;2-6;M
12;BAROMETRIC PRESSURE IN HECTOPASCALS (MILLIBARS);;;12A;ATMOSPHERIC PRESSURE IN MILLIBARS;;1087/8;3-5;M
;BAROMETRIC PRESSURE IN HECTOPASCALS (MILLIBARS);;;12B;BAROMETRIC PRESSURE IN INCHES OF MERCURY;;1087/5;;
13;SEA WAVE HEIGHT, FEET OR METRES;;;13A;SEA WAVE HEIGHT, FEET OR METRES;;2132;2-5;O
14;WAVE DIRECTION, DEGREES TRUE, MAGNETIC, GRID OR RELATIVE;;;14A;WAVE DIRECTION, DEGREES TRUE, MAGNETIC, GRID OR RELATIVE;;2262;4-4;O
15;SEA STATE;;;15A;SEA STATE;;1392/1;1-1;O
