FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;MINECASE NUMBER;;;1A;MINECASE NUMBER;;1012/87;4-4;M
2;MINE TYPE;;;2A;MINE TYPE;;1210/1;1-68;M
3;DELIVERY PLACEMENT ERROR, NAUTICAL MILES;;;3A;DELIVERY PLACEMENT ERROR, NAUTICAL MILES;;2277;3-6;M
4;DROP QUALITY;;;4A;DROP QUALITY;;1151/1;1-4;M
5;INTENDED DELIVERY POSITION;;;5A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;INTENDED DELIVERY POSITION;;;5B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;INTENDED DELIVERY POSITION;;;5C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;INTENDED DELIVERY POSITION;;;5D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;INTENDED DELIVERY POSITION;;;5E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;INTENDED DELIVERY POSITION;;;5F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
6;ACTUAL DELIVERY POSITION;;;6A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;O
;ACTUAL DELIVERY POSITION;;;6B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;ACTUAL DELIVERY POSITION;;;6C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;ACTUAL DELIVERY POSITION;;;6D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;ACTUAL DELIVERY POSITION;;;6E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;ACTUAL DELIVERY POSITION;;;6F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
