FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;START LOCATION;;;1A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-24;M
;START LOCATION;;;1B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;START LOCATION;;;1C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;START LOCATION;;;1D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;START LOCATION;;;1E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;START LOCATION;;;1F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;START LOCATION;;;1G;PORT NAME;PORT;1022/74;;
;START LOCATION;;;1H;DESIGNATED AREA NAME;NAME;1022/102;;
;START LOCATION;;;1I;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES VERIFIED;SUB;2577;;
2;DATE-TIME MONTH OF START, VERIFIED;;;2A;DATE-TIME MONTH OF START, VERIFIED;;2032;11-11;M
3;END LOCATION;;;3A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-24;M
;END LOCATION;;;3B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;END LOCATION;;;3C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;END LOCATION;;;3D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;END LOCATION;;;3E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;END LOCATION;;;3F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;END LOCATION;;;3G;NEXT FINAL POSITION NAME;POS;1022/45;;
;END LOCATION;;;3H;DESIGNATED AREA NAME;NAME;1022/102;;
;END LOCATION;;;3I;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES VERIFIED;SUB;2577;;
4;DATE-TIME MONTH OF STOP, VERIFIED;;;4A;DATE-TIME MONTH OF STOP, VERIFIED;;2032;11-11;M
