FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;MESSAGE TEXT FORMAT IDENTIFIER;;;1A;MESSAGE TEXT FORMAT IDENTIFIER;;1018/2;3-19;M
2;STANDARD;;;2A;STANDARD OF MESSAGE TEXT FORMAT;;1589/8;1-20;M
3;VERSION;;;3A;VERSION OF MESSAGE TEXT FORMAT;;1589/9;1-20;M
4;ORIGINATOR;;;4A;ORIGINATOR;;1029/1;1-30;M
5;MESSAGE SERIAL NUMBER;;;5A;MESSAGE SERIAL NUMBER;;1012/7;1-7;O
6;REFERENCE TIME OF PUBLICATION;;;6A;MONTH NAME, ABBREVIATED;;1004/1;3-16;M
;REFERENCE TIME OF PUBLICATION;;;6B;DATE TIME (ISO);;2034;;
7;QUALIFIER;;;7A;QUALIFIER;;1130/3;3-3;O
8;SERIAL NUMBER OF QUALIFIER;;;8A;SERIAL NUMBER OF QUALIFIER;;1012/29;1-3;O
9;MESSAGE SECURITY POLICY;;;9A;MESSAGE SECURITY POLICY;;1288/5;1-50;M
10;MESSAGE SECURITY CLASSIFICATION;;;10A;MESSAGE SECURITY CLASSIFICATION EXTENDED;;1288/8;1-50;M
;MESSAGE SECURITY CLASSIFICATION;;;10B;MESSAGE SECURITY CLASSIFICATION;OTHER;1288/7;;
11;MESSAGE SECURITY CATEGORY;;;11A;MESSAGE SECURITY CATEGORY;;1288/6;1-50;O
