FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;AIRCRAFT NUMBER;;;1A;NUMBER OF AIRCRAFT, 1-99;;1044/322;1-2;M
2;AIRCRAFT TYPE;;;2A;AIRCRAFT BY TYPE, MODEL OR CODE;ACTYP;1015/20;2-10;M
;AIRCRAFT TYPE;;;2B;AIRCRAFT TYPE AND MODEL, OTHER;OTHAC;1015/18;;
3;CALL SIGN;;;3A;CONTACT CALL SIGN;;1129/31;1-20;M
4;PRIMARY CONFIGURATION LOAD;;;4A;PRIMARY CONFIGURATION LOAD;;1012/258;1-38;M
5;SECONDARY CONFIGURATION LOAD;;;5A;SECONDARY CONFIGURATION LOAD;;1012/259;1-38;O
6;LINK 16 CALL SIGN;;;6A;LINK 16 ABBREVIATED CALL SIGN;;1129/41;1-4;O
7;TACAN CHANNEL;;;7A;TACAN CHANNEL WITH MODES;;2103;2-4;O
8;JTIDS UNIT ADDRESS;;;8A;PRIMARY JTIDS UNIT (JU) ADDRESS;;1625/32;5-5;O*
9;IFF/SIF MODE AND CODE;;;9A;IFF/SIF MODE AND CODE, NON HYPHENATED;;2500;3-25;O*
