FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;AIRCRAFT CALL SIGN;;;1A;CONTACT CALL SIGN;;1129/31;1-20;M
2;AIRCRAFT BY TYPE, MODEL OR CODE;;;2A;AIRCRAFT BY TYPE, MODEL OR CODE;ACTYP;1015/20;2-10;M
;AIRCRAFT BY TYPE, MODEL OR CODE;;;2B;AIRCRAFT TYPE AND MODEL, OTHER;OTHAC;1015/18;;
3;UNIT DESIGNATOR;;;3A;UNIT IDENTIFICATION CODE (UIC2);UIC2;2243;1-24;M
;UNIT DESIGNATOR;;;3B;UNIT IDENTIFICATION CODE (UIC3);UIC3;2241;;
;UNIT DESIGNATOR;;;3C;UNIT DESIGNATOR;UNIT;1028/43;;
4;AIRCRAFT IDENTIFICATION NUMBER;;;4A;AIRCRAFT IDENTIFICATION NUMBER;TAIL;1012/84;1-10;M
;AIRCRAFT IDENTIFICATION NUMBER;;;4B;AIRCRAFT SIDE NUMBER;SIDE;1012/92;;
5;PRIMARY CONFIGURATION LOAD;;;5A;PRIMARY CONFIGURATION CODE;;1012/264;1-38;M
6;SECONDARY CONFIGURATION LOAD;;;6A;SECONDARY CONFIGURATION CODE;;1012/265;1-38;O
7;TANKER SUPPORT RECEIVED;;;7A;TANKER SUPPORT RECEIVED INDICATOR;;1027/86;2-3;O
8;INFLIGHT REPORT FILED;;;8A;INFLIGHT REPORT FILED INDICATOR;;1027/87;2-3;M
9;END OF DEBRIEF DATE-TIME GROUP;;;9A;END OF DEBRIEF DTG;;2033;14-14;M
10;ICAO DEPARTURE LOCATION;;;10A;ICAO DEPARTURE LOCATION;LOC;1125/4;1-22;M*
;ICAO DEPARTURE LOCATION;;;10B;DEPARTURE LOCATION NAME;NAME;1022/84;;
;ICAO DEPARTURE LOCATION;;;10C;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;;
;ICAO DEPARTURE LOCATION;;;10D;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
11;DTG OF DEPARTURE;;;11A;DTG OF DEPARTURE;;2033;14-14;M*
12;ICAO RECOVERY BASE;;;12A;ICAO RECOVERY BASE;ICAO;1125/5;1-22;M*
;ICAO RECOVERY BASE;;;12B;RECOVERY LOCATION NAME;LOC;1022/10;;
;ICAO RECOVERY BASE;;;12C;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;;
;ICAO RECOVERY BASE;;;12D;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
13;DTG OF ARRIVAL;;;13A;DTG OF ARRIVAL;;2033;14-14;M*
