FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;MISSION NUMBER;;;1A;MISSION NUMBER;;1012/69;1-8;M*
2;MISSION LOCATION TYPE;;;2A;MISSION LOCATION TYPE;;1284/4;2-6;M*
3;MISSION LOCATION;;;3A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M*
;MISSION LOCATION;;;3B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;MISSION LOCATION;;;3C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;MISSION LOCATION;;;3D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;MISSION LOCATION;;;3E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;MISSION LOCATION;;;3F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;MISSION LOCATION;;;3G;GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE;GEO;2018;;
;MISSION LOCATION;;;3H;TRUE BEARING AND DISTANCE IN NM FROM REF PT (ABBREV);TBAR;2431;;
;MISSION LOCATION;;;3I;MISSION LOCATION NAME;LOC;1022/107;;
;MISSION LOCATION;;;3J;ICAO LOCATION INDICATOR;ICAO;1125/1;;
;MISSION LOCATION;;;3K;ICAO LOAD BASE;BASE;1125/3;;
;MISSION LOCATION;;;3L;MISSION LOCATION, ABCA TARGET NUMBER;A;2120;;
;MISSION LOCATION;;;3M;MISSION LOCATION, THEATER TARGET ID NUMBER;ID;2121;;
;MISSION LOCATION;;;3N;MISSION LOCATION, BE NUMBER WITH SUFFIX;BE;2122;;
4;ALTITUDE;;;4A;ALTITUDE IN HUNDREDS OF FEET;;1255/1;3-5;O*
;ALTITUDE;;;4B;FLIGHT LEVEL;;2129;;
5;MISSION LOCATION COMMENT;;;5A;MISSION LOCATION COMMENT;;1357/8;1-22;O*
