FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;PRIMARY/ALTERNATE TARGET DESIGNATOR;;;1A;PRIMARY ALTERNATE TARGET DESIGNATOR;;1076/13;1-1;M
2;TIME ON TARGET;;;2A;DAY-TIME AND MONTH TASKED ON TARGET;TOT;2030;9-10;O
;TIME ON TARGET;;;2B;DAY-TIME ON TARGET TO THE SECOND, ZULU;TOTS;2483;;
3;NET TIME ON TARGET;;;3A;NOT EARLIER THAN DAY-TIME;NET;2000;7-9;C
;NET TIME ON TARGET;;;3B;NOT EARLIER THAN DAY-TIME TO THE SECOND, ZULU;NETS;2483;;
4;NLT TIME ON TARGET;;;4A;NOT LATER THAN DAY-TIME;NLT;2000;7-7;C
5;TARGET IDENTIFIER;;;5A;TARGET POSITION NAME;NAME;1022/81;1-20;M
;TARGET IDENTIFIER;;;5B;TARGET POSITION IDENTIFIER;ID;1416/2;;
6;TARGET TYPE;;;6A;NON-SHIP TARGET TYPE;NON-SHIP;1650/6;2-8;M
;TARGET TYPE;;;6B;VESSEL TYPE;SHIP;1166/1;;
7;MISSILE TYPE;;;7A;MISSILE TYPE, ABBREVIATED;;1407/27;1-1;M
8;MISSILES NUMBER;;;8A;NUMBER OF MISSILES;;1044/323;1-3;M
9;TARGET PRIORITY;;;9A;TARGET PRIORITY, LITERAL;;1076/11;1-5;O
10;TARGET OBJECTIVE;;;10A;TARGET OBJECTIVE;;1456/3;1-15;O
11;COMPONENT TARGET IDENTIFIER;;;11A;COMPONENT TARGET IDENTIFIER;CTGT;1416/5;1-18;O
;COMPONENT TARGET IDENTIFIER;;;11B;TARGET ENTITY ID REFERENCE NUMBER;EIRN;2085;;
12;DMPI IDENTIFIER;;;12A;TARGET DESIRED MEAN POINT OF IMPACT (DMPI) IDENTIFIER;;1416/7;1-30;O
13;DESIRED MEAN POINT OF IMPACT;;;13A;GEOGRAPHIC LOCATION, LAT/LONG, CENTISECONDS;LATCS;2488;12-22;O
;DESIRED MEAN POINT OF IMPACT;;;13B;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;;
14;GEODETIC DATUM;;;14A;GEODETIC DATUM;;1195/1;3-6;O
15;PROBABLE COORDINATE HORIZONTAL CIRCULAR ERROR;;;15A;PROBABLE COORDINATE HORIZONTAL CIRCULAR ERROR;;2532;5-9;C
16;DMPI ELEVATION;;;16A;DESIRED MEAN POINT OF IMPACT ELEVATION IN FEET OR METRES;;2492;5-13;C
17;PROBABLE COORDINATE ELEVATION LINEAR ERROR;;;17A;PROBABLE COORDINATE ELEVATION LINEAR ERROR;;2532;5-9;C
18;TERMINAL AREA MODEL IDENTIFICATION;;;18A;TERMINAL AREA MODEL IDENTIFICATION;TAMID;1012/317;1-24;O
19;AIMPOINT SUFFIX;;;19A;AIMPOINT SUFFIX;;1012/244;2-2;O*
