FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;ACE UIC;;;1A;ACE UIC;;2141;7-9;M
2;LOCATION OR POSITION NAME;;;2A;LOCATION OR POSITION NAME;;1022/6;1-15;M
3;GEOGRAPHICAL ENTITY;;;3A;GEOGRAPHICAL ENTITY;;1026/1;2-2;M
4;GEOGRAPHIC POSITION;;;4A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;GEOGRAPHIC POSITION;;;4B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;GEOGRAPHIC POSITION;;;4C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;GEOGRAPHIC POSITION;;;4D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;GEOGRAPHIC POSITION;;;4E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;GEOGRAPHIC POSITION;;;4F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
5;DAY-TIME CHANGE EFFECTIVE;;;5A;DAY-TIME CHANGE EFFECTIVE;;2000;7-7;M
