FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;NAVAL DESIGNATION;;;1A;NAVAL TASK DESIGNATOR;NTD;2143;1-38;M
;NAVAL DESIGNATION;;;1B;UNIT NAME;;1022/48;;
2;LOCATION;;;2A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;LOCATION;;;2B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;LOCATION;;;2C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;LOCATION;;;2D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;LOCATION;;;2E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;LOCATION;;;2F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;LOCATION;;;2G;PLACE NAME;NAME;1022/170;;
3;TIME AT LOCATION;;;3A;DAY-TIME OF POSITION;;2000;5-10;M
;TIME AT LOCATION;;;3B;DAY-TIME AND MONTH;;2030;;
;TIME AT LOCATION;;;3C;LOCATING DAY-MONTH NAME;;2067;;
4;SPEED OR MOVEMENT;;;4A;COURSE IN DEGREES TRUE AND SPEED IN KNOTS;;2025;3-6;M
;SPEED OR MOVEMENT;;;4B;NAVAL FORCE MOVEMENT STATUS;;1341/2;;
