FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;AREA NAME;;;1A;AREA NAME;;1022/69;1-38;M
2;DATE-TIME MONTH OF START, VERIFIED;;;2A;DATE-TIME MONTH OF START, VERIFIED;;2032;11-11;M
3;STOP DATE-TIME VERIFIED.;;;3A;DATE-TIME MONTH OF STOP, VERIFIED;;2032;3-11;M
;STOP DATE-TIME VERIFIED.;;;3B;TIME QUALIFIER UNTIL FURTHER NOTICE;;1220/5;;
4;AREA DEFINITION;;;4A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-36;M*
;AREA DEFINITION;;;4B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;AREA DEFINITION;;;4C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;AREA DEFINITION;;;4D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;AREA DEFINITION;;;4E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;AREA DEFINITION;;;4F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;AREA DEFINITION;;;4G;SUBMARINE GRID SYSTEM AREA DESIGNATOR;SGSA;1499/1;;
;AREA DEFINITION;;;4H;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES VERIFIED;SUB;2577;;
