FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;FLAG;;;1A;FLAG;;1026/3;2-2;M
2;NAVAL VESSEL TYPE;;;2A;NAVAL VESSEL TYPE;;1166/3;2-5;M
3;UNIT IDENTIFICATION;;;3A;SHIP NAME;;1022/49;1-38;M
;UNIT IDENTIFICATION;;;3B;UNIT IDENTIFICATION CODE (UIC);UIC;2141;;
4;UNIT LOCATION;;;4A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-48;M
;UNIT LOCATION;;;4B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;UNIT LOCATION;;;4C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;UNIT LOCATION;;;4D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;UNIT LOCATION;;;4E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;UNIT LOCATION;;;4F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;UNIT LOCATION;;;4G;PLACE NAME;NAME;1022/170;;
;UNIT LOCATION;;;4H;TRUE BEARING AND DISTANCE IN NM FROM REFERENCE POINT;TBRN;2016;;
5;DAY-TIME AT LOCATION;;;5A;DAY-TIME OF POSITION;;2000;5-14;M
;DAY-TIME AT LOCATION;;;5B;DAY-TIME AND MONTH;;2030;;
;DAY-TIME AT LOCATION;;;5C;DTG;;2033;;
;DAY-TIME AT LOCATION;;;5D;DAY-MONTH NAME;;2067;;
6;VESSEL MOVEMENT;;;6A;COURSE IN DEGREES TRUE AND SPEED IN KNOTS;;2025;3-6;M
;VESSEL MOVEMENT;;;6B;NAVAL FORCE MOVEMENT STATUS;;1341/2;;
