FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;OBSTRUCTION TYPE;;;1A;OBSTRUCTION TYPE;;1270/1;4-8;M
2;NUMBER OF OBSTRUCTIONS;;;2A;NUMBER OF OBSTRUCTIONS;;1044/319;1-2;O
3;OBSTRUCTION LOCATION;;;3A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;O*
;OBSTRUCTION LOCATION;;;3B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;OBSTRUCTION LOCATION;;;3C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;OBSTRUCTION LOCATION;;;3D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;OBSTRUCTION LOCATION;;;3E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;OBSTRUCTION LOCATION;;;3F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
4;APPROXIMATE HEIGHT ABOVE GROUND;;;4A;APPROXIMATE HEIGHT ABOVE GROUND IN METRES;;1651/7;1-9;O*
;APPROXIMATE HEIGHT ABOVE GROUND;;;4B;HEIGHT IN FEET;FT;1581/1;;
5;DEPTH BELOW SURFACE IN METRES;;;5A;DEPTH BELOW SURFACE IN METRES;;1247/7;1-4;O*
6;WIDTH IN METRES, 1-99999;;;6A;WIDTH IN METRES, 1-99999;;1658/6;1-5;O*
7;LENGTH IN METRES, 1-99999;;;7A;LENGTH IN METRES, 1-99999;;1657/7;1-5;O*
