FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;DAY-TIME OF TARGET SOLUTION;;;1A;DAY-TIME OF TARGET SOLUTION;;2000;7-7;M
2;LAUNCH PLATFORM POSITION;;;2A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;LAUNCH PLATFORM POSITION;;;2B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;LAUNCH PLATFORM POSITION;;;2C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;LAUNCH PLATFORM POSITION;;;2D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;LAUNCH PLATFORM POSITION;;;2E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;LAUNCH PLATFORM POSITION;;;2F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
3;LAUNCH PLATFORM ALTITUDE;;;3A;LAUNCH PLATFORM ALTITUDE IN HUNDREDS OF FEET;;2164;5-6;M
;LAUNCH PLATFORM ALTITUDE;;;3B;FLIGHT LEVEL;;2129;;
4;TARGET BEARING;;;4A;TARGET BEARING, DEGREES/TENTHS TRUE, MAGNETIC, GRID OR REL;;2263;4-6;M
5;TARGET RANGE;;;5A;TARGET RANGE, NAUTICAL MILES;;2272;3-7;M
6;VESSEL TYPE;;;6A;VESSEL TYPE;;1166/1;2-8;O
7;SENSOR PLATFORM;;;7A;SENSOR PLATFORM;;1473/2;3-4;O
8;ACOUSTIC SENSOR;;;8A;ACOUSTIC SENSOR;;1434/5;2-6;O*
