FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;GEOGRAPHIC POSITION OF START FOR THE PASSAGE;;;1A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-24;M
;GEOGRAPHIC POSITION OF START FOR THE PASSAGE;;;1B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;GEOGRAPHIC POSITION OF START FOR THE PASSAGE;;;1C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;GEOGRAPHIC POSITION OF START FOR THE PASSAGE;;;1D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;GEOGRAPHIC POSITION OF START FOR THE PASSAGE;;;1E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;GEOGRAPHIC POSITION OF START FOR THE PASSAGE;;;1F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;GEOGRAPHIC POSITION OF START FOR THE PASSAGE;;;1G;Q-ROUTE POSITION;QPOS;2203;;
;GEOGRAPHIC POSITION OF START FOR THE PASSAGE;;;1H;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES VERIFIED;SUB;2577;;
2;DTG AT POSITION;;;2A;DTG AT POSITION;;2033;14-14;M
3;POSITION OR POINT NAME;;;3A;POSITION OR POINT NAME;;1022/18;1-20;O
