FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;START DAY-TIME;;;1A;DAY-TIME START;;2000;7-14;M
;START DAY-TIME;;;1B;DAY-TIME AND MONTH OF START;;2030;;
;START DAY-TIME;;;1C;DTG OF START;;2033;;
2;STOP DAY-TIME;;;2A;DAY-TIME STOP;;2000;3-14;M
;STOP DAY-TIME;;;2B;DAY-TIME AND MONTH OF STOP;;2030;;
;STOP DAY-TIME;;;2C;STOP TIME QUALIFIER;;1220/8;;
;STOP DAY-TIME;;;2D;DTG OF STOP;;2033;;
3;QUALIFIED STOP TIME;;;3A;DAY-TIME;;2000;7-14;C
;QUALIFIED STOP TIME;;;3B;DAY-TIME AND MONTH;;2030;;
;QUALIFIED STOP TIME;;;3C;DTG;;2033;;
