FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;BIOGRAPHIC KEY;;;1A;BIOGRAPHIC KEY;;2445;12-12;M
2;LAST NAME;;;2A;LAST NAME;;1022/255;1-54;C
3;FIRST NAME(S);;;3A;FIRST NAME(S);;1022/256;1-54;C
4;MIDDLE NAME(S)/INITIAL(S);;;4A;MIDDLE NAME(S) INITIAL(S);;1022/257;1-54;C
5;BIRTH NAME;;;5A;BIRTH NAME;;1022/258;1-54;O
6;PERSONAL TITLE;;;6A;PERSONAL TITLE;;1022/259;1-54;O
7;GENDER, ABBREVIATED;;;7A;GENDER, ABBREVIATED;;1286/13;1-1;M
8;HEIGHT OF PERSON, FEET OR METRES;;;8A;HEIGHT OF PERSON, FEET OR METRES;;2596;5-6;O
9;COLOUR OF EYES;;;9A;COLOUR OF EYES;;1138/11;3-6;O
10;DATE OF BIRTH, YYYYMMDD;;;10A;DATE OF BIRTH, YYYYMMDD;;2053;8-8;C
11;PLACE OF BIRTH;;;11A;PLACE OF BIRTH;;1022/309;1-54;O
12;COUNTRY OF BIRTH;;;12A;COUNTRY OF BIRTH;;1026/13;2-2;O
13;DATE OF DEATH, YYYYMMDD;;;13A;DATE OF DEATH, YYYYMMDD;;2053;8-8;O
14;PLACE OF DEATH;;;14A;PLACE OF DEATH;;1022/310;1-54;O
15;COUNTRY;;;15A;COUNTRY;;1026/18;2-2;O
16;ALLEGIANCE;;;16A;ALLEGIANCE;;1026/17;2-2;C
17;RELIGION;;;17A;RELIGION;;1016/1;4-31;O
18;ETHNIC GROUP;;;18A;ETHNIC GROUP;;1646/1;1-54;O
19;MARITAL STATUS;;;19A;MARITAL STATUS;;1727/1;1-1;C
20;NUMBER OF CHILDREN;;;20A;NUMBER OF CHILDREN;;1044/337;1-2;O
21;IMAGERY KEY;;;21A;IMAGERY KEY;;2585;12-12;O*
22;DATE-TIME (Z) IMAGERY COLLECTED, YYYYMMDDHHMMSS;;;22A;DATE-TIME (Z) IMAGERY COLLECTED, YYYYMMDDHHMMSS;;2417;14-14;O*
23;REMARKS;;;23A;REMARKS;;1357/28;1-68;O*
