FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;AREA, VALIDATED;;;1A;AREA, VALIDATED;AREA;2674;5-14;O
2;AZIMUTH DATA, VALIDATED;;;2A;AZIMUTH DATA, VALIDATED;AZIMUTH;2519;7-13;O
3;DESIGN, INTELLIGENCE;;;3A;DESIGN, INTELLIGENCE;DESIGN;1718/2;1-4;O
4;DIAMETER, VALIDATED;;;4A;DIAMETER, VALIDATED;DIAM;2598;4-9;O
5;ENTRY WIDTH, VALIDATED;;;5A;ENTRY WIDTH, VALIDATED;ENTRY;2675;4-9;O
6;FLOOR SPACE, VALIDATED;;;6A;FLOOR SPACE, VALIDATED;FLOORSPA;2674;5-14;O
7;LINEAR DIMENSIONS (LENGTH-WIDTH-HEIGHT);;;7A;LINEAR DIMENSIONS (LENGTH-WIDTH-HEIGHT);LINEAR;2474;6-19;O
8;MATERIAL DATA, VALIDATED;;;8A;MATERIAL DATA, VALIDATED;MATERIAL;2586;7-17;O
9;PLACEMENT;;;9A;PLACEMENT;PLACE;1722/1;1-4;O
;PLACEMENT;;;9B;PLACEMENT OF TRANSFORMERS;PLTRANS;1722/2;;
10;QUANTITY OF FLOORS ABOVE GROUND;;;10A;QUANTITY OF FLOORS ABOVE GROUND;FLOORAB;1044/374;1-2;O
11;QUANTITY OF FLOORS BELOW GROUND;;;11A;QUANTITY OF FLOORS BELOW GROUND;FLOORBEL;1044/375;1-2;O
12;RADIUS, VALIDATED;;;12A;RADIUS, VALIDATED;RADIUS;2677;4-9;O
13;SPAN DATA, VALIDATED;;;13A;SPAN DATA, VALIDATED;SPAN;2516;7-13;O
14;MATERIAL STRENGTH DATA;;;14A;MATERIAL STRENGTH DATA;STRENGTH;2517;11-25;O
15;STRUCTURE, INTELLIGENCE;;;15A;STRUCTURE, INTELLIGENCE;STRUCT;1705/7;1-8;O
16;SURFACE MATERIAL;;;16A;SURFACE MATERIAL;SURFACE;1592/13;1-6;O
17;THICKNESS, VALIDATED;;;17A;THICKNESS, VALIDATED;THICK;2678;4-9;O
18;VERTICAL CLEARANCE, VALIDATED;;;18A;VERTICAL CLEARANCE, VALIDATED;VERTCL;2679;4-9;O
19;REMARKS;;;19A;REMARKS;;1357/28;1-68;O
