FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;LOCATION REFERENCE;;;1A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-30;M
;LOCATION REFERENCE;;;1B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;LOCATION REFERENCE;;;1C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;LOCATION REFERENCE;;;1D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;LOCATION REFERENCE;;;1E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;LOCATION REFERENCE;;;1F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;LOCATION REFERENCE;;;1G;GEOGRAPHIC PLACE NAME;NAME;1022/90;;
2;UNIT NUMBER;;;2A;UNIT NUMBER;;1012/32;1-4;M
3;ECHELON LEVEL;;;3A;ECHELON LEVEL;;1045/1;1-7;M
4;DAY-TIME ON;;;4A;DAY-TIME ON;;2000;7-7;M
5;DAY-TIME OFF;;;5A;DAY-TIME OFF;;2000;7-7;M
6;PRESENTATION METHOD;;;6A;PRESENTATION METHOD;;1051/1;4-8;M*
