FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;POC NAME;;;1A;CONTACT NAME;;1022/7;1-20;M
2;POC RANK OR POSITION;;;2A;RANK OR POSITION;;1046/2;1-16;M
3;POC UNIT;;;3A;UNIT DESIGNATOR;UNIT;1028/43;1-24;M
;POC UNIT;;;3B;CONTACT CALL SIGN;CALLSIGN;1129/31;;
;POC UNIT;;;3C;UNIT IDENTIFICATION CODE (UIC2);UIC2;2243;;
;POC UNIT;;;3D;UNIT IDENTIFICATION CODE (UIC3);UIC3;2241;;
4;POC LOCATION;;;4A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-24;M
;POC LOCATION;;;4B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;POC LOCATION;;;4C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;POC LOCATION;;;4D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;POC LOCATION;;;4E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;POC LOCATION;;;4F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;POC LOCATION;;;4G;LOCATION NAME;LOC;1022/4;;
;POC LOCATION;;;4H;ICAO BASE CODE;ICAO;1125/2;;
;POC LOCATION;;;4I;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES VERIFIED;SUB;2577;;
5;COMMUNICATION MEANS PARAMETERS;;;5A;NON-SECURE TELEPHONE;TEL;1361/3;1-60;M*
;COMMUNICATION MEANS PARAMETERS;;;5B;SECURE TELEPHONE NUMBER;SECTEL;1361/4;;
;COMMUNICATION MEANS PARAMETERS;;;5C;SECURE FACSIMILE (FAX) NUMBER;SECFAX;1361/8;;
;COMMUNICATION MEANS PARAMETERS;;;5D;NON-SECURE FACSIMILE (FAX) NUMBER;FAX;1361/7;;
;COMMUNICATION MEANS PARAMETERS;;;5E;RADIO FREQUENCY;FRQ;2064;;
;COMMUNICATION MEANS PARAMETERS;;;5F;FREQUENCY DESIGNATOR;FRQDES;1396/1;;
;COMMUNICATION MEANS PARAMETERS;;;5G;FREQUENCY MODE AND NUMERIC;FREQ;2498;;
;COMMUNICATION MEANS PARAMETERS;;;5H;ELECTRONIC MAIL ADDRESS;EMAIL;1183/7;;
;COMMUNICATION MEANS PARAMETERS;;;5I;SECURE ELECTRONIC MAIL ADDRESS;SEMAIL;1183/9;;
