FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;EMBARKATION/DISEMBARKATION LOCATION QUALIFIER;;;1A;EMBARKATION DISEMBARKATION LOCATION QUALIFIER;;1118/5;2-3;M
2;LOCATION INFORMATION;;;2A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-38;M
;LOCATION INFORMATION;;;2B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;LOCATION INFORMATION;;;2C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;LOCATION INFORMATION;;;2D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;LOCATION INFORMATION;;;2E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;LOCATION INFORMATION;;;2F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;LOCATION INFORMATION;;;2G;NAME OF NEAREST TOWN;TOWN;1022/284;;
;LOCATION INFORMATION;;;2H;GEOGRAPHIC AREA DESCRIPTION;AREA;1363/9;;
3;GEOGRAPHIC POSITION, GEOREF, MINUTE;;;3A;GEOGRAPHIC POSITION, GEOREF, MINUTE;;2017;8-8;C
