FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;SUPPORTING UNIT NAME;;;1A;SUPPORTING UNIT NAME;;1022/196;1-38;M
2;DESIRED EFFECT OF FIRE MISSION;;;2A;DESIRED EFFECT OF FIRE MISSION;;1425/3;3-15;M
3;NUMBER OF AIRCRAFT, 1-99;;;3A;NUMBER OF AIRCRAFT, 1-99;;1044/322;1-2;M
4;AIRCRAFT TYPE;;;4A;AIRCRAFT TYPE;;1015/1;2-10;M
5;TARGET NUMBER;;;5A;TARGET REFERENCE NUMBER;;1012/96;1-10;M
6;TARGET DESCRIPTION;;;6A;TARGET DESCRIPTION;;1363/4;1-20;M
7;TARGET LOCATION;;;7A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;TARGET LOCATION;;;7B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;TARGET LOCATION;;;7C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;TARGET LOCATION;;;7D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;TARGET LOCATION;;;7E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;TARGET LOCATION;;;7F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
8;DTG ON TARGET;;;8A;DTG ON TARGET;;2033;14-14;M
9;DTG OF STOP;;;9A;DTG OF STOP;;2033;14-14;M
