FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;ALLEGIANCE;;;1A;ALLEGIANCE;;1026/17;2-2;M
2;SERVICE FORMATION;;;2A;SERVICE FORMATION;;1107/6;1-2;M
3;SERVICE NUMBER;;;3A;SERVICE NUMBER;;1012/325;1-30;M
4;NATIONAL MILITARY RANK;;;4A;NATIONAL MILITARY RANK;;1046/3;2-9;M
5;RANK (NATO/US), MIL OR CIV;;;5A;RANK (NATO US), MIL OR CIV;;1046/6;2-3;M
6;SPECIALISATION, PERSONNEL;;;6A;SPECIALISATION, PERSONNEL;;1307/3;1-3;M
7;PROFESSION;;;7A;PROFESSION;;1046/4;1-54;O
8;PROMOTION DATE, YYYYMMDD;;;8A;PROMOTION DATE, YYYYMMDD;;2053;8-8;O
9;START DATE OF SERVICE, YYYYMMDD;;;9A;START DATE OF SERVICE, YYYYMMDD;;2053;8-8;O
10;END DATE OF SERVICE, YYYYMMDD;;;10A;END DATE OF SERVICE, YYYYMMDD;;2053;8-8;O
11;REMARKS;;;11A;REMARKS;;1357/28;1-68;O
