FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;PRESENT POSITION;;;1A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;PRESENT POSITION;;;1B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;PRESENT POSITION;;;1C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;PRESENT POSITION;;;1D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;PRESENT POSITION;;;1E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;PRESENT POSITION;;;1F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;PRESENT POSITION;;;1G;PLACE NAME;NAME;1022/170;;
2;UNIT IDENTIFIER;;;2A;UNIT NAME;;1022/48;1-38;M
;UNIT IDENTIFIER;;;2B;UNIT IDENTIFICATION CODE (UIC);UIC;2141;;
;UNIT IDENTIFIER;;;2C;NAVAL TASK DESIGNATOR;NTD;2143;;
