FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;LAST NAME;;;1A;LAST NAME;;1022/255;1-54;M
2;FIRST NAME(S);;;2A;FIRST NAME(S);;1022/256;1-54;M
3;NATIONAL MILITARY RANK;;;3A;NATIONAL MILITARY RANK;;1046/3;2-9;M
4;AGE;;;4A;DATE OF BIRTH, DDMMYYYY;;2052;1-8;M
;AGE;;;4B;AGE;;1044/357;;
5;GENDER, ABBREVIATED;;;5A;GENDER, ABBREVIATED;;1286/13;1-1;M
6;ETHNIC GROUP;;;6A;ETHNIC GROUP;;1646/1;1-54;O
7;BELIEF OR RELIGION;;;7A;BELIEF OR RELIGION;;1016/2;1-54;O
8;PERSONAL IDENTIFICATION NUMBER;;;8A;PERSONAL IDENTIFICATION NUMBER;;1012/230;1-20;M
9;PW INTERROGATION SERIAL NUMBER;;;9A;PW INTERROGATION SERIAL NUMBER;;1012/231;27-27;M
10;INTERROGATOR LAST NAME;;;10A;INTERROGATOR LAST NAME;;1022/395;1-54;M
11;MILITARY RANK OR RATE AND RATING;;;11A;MILITARY RANK OR RATE AND RATING;;1483/1;3-5;M
12;LANGUAGE USED;;;12A;LANGUAGE USED;;1647/2;3-26;M
13;REPORT ATTACHED;;;13A;REPORT ATTACHED;;1027/71;1-1;M
