FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;RADIO FREQUENCY;;;1A;RADIO FREQUENCY;;2064;3-14;M
;RADIO FREQUENCY;;;1B;FREQUENCY BAND;;1264/1;;
2;PULSE REPETITION FREQUENCY;;;2A;PULSE REPETITION FREQUENCY;;2177;4-14;O
3;PULSE REPETITION INTERVAL IN MICROSECONDS;;;3A;PULSE REPETITION INTERVAL IN MICROSECONDS;;2176;4-14;O
4;PULSE WIDTH;;;4A;PULSE WIDTH;;2175;3-6;O
5;SCAN RATE;;;5A;SCAN RATE (HZ);;2026;3-8;O
;SCAN RATE;;;5B;SCAN RATE (SPR);;2008;;
;SCAN RATE;;;5C;SCAN RATE (RPM);;2174;;
6;SCAN TYPE;;;6A;SCAN TYPE;;1105/1;1-4;O
7;EMISSION INTERCEPT DURATION;;;7A;EMISSION INTERCEPT DURATION;;2095;9-9;O
8;PRF VARIATION;;;8A;PRF VARIATION;;1260/1;4-5;O
