FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;CONSTRICTION DESCRIPTION;;;1A;CONSTRICTION DESCRIPTION;;1363/64;1-30;M
2;CONSTRICTION LOCATION;;;2A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;CONSTRICTION LOCATION;;;2B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;CONSTRICTION LOCATION;;;2C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;CONSTRICTION LOCATION;;;2D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;CONSTRICTION LOCATION;;;2E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;CONSTRICTION LOCATION;;;2F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
3;GRADIENT;;;3A;GRADIENT;GRD;1789/1;1-2;M
4;LENGTH OF LIMITING CONSTRICTION;;;4A;LENGTH OF LIMITING CONSTRICTION;LE;2454;2-7;O
5;WIDTH OF LIMITING CONSTRICTION;;;5A;WIDTH OF LIMITING CONSTRICTION;WI;2451;2-7;O
6;HEIGHT OF LIMITING CONSTRICTION;;;6A;HEIGHT OF LIMITING CONSTRICTION;HI;2452;2-7;O
7;MAXIMUM LOAD SUPPORTED IN METRIC TONS;;;7A;MAXIMUM LOAD SUPPORTED IN METRIC TONS;WT;1855/1;1-3;O
