FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;MODIFIER TYPE;;;1A;MODIFIER TYPE;;1156/6;3-3;M
2;BEACON ID LETTER;;;2A;BEACON ID LETTER;;1102/14;1-1;M
3;BEACON LOCATION;;;3A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;BEACON LOCATION;;;3B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;BEACON LOCATION;;;3C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;BEACON LOCATION;;;3D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;BEACON LOCATION;;;3E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;BEACON LOCATION;;;3F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
4;RANGE ERROR IN YARDS;;;4A;RANGE ERROR IN YARDS;;1218/4;1-3;M
5;BEACON HEIGHT IN FEET;;;5A;BEACON HEIGHT IN FEET;;1581/3;1-4;M
6;RECEIVER FREQUENCY IN MHZ 000.1 TO 999.9;;;6A;RECEIVER FREQUENCY IN MHZ 000.1 TO 999.9;;1068/17;3-5;M
7;TRANSMITTER FREQUENCY IN MHZ 000.1 TO 999.9;;;7A;TRANSMITTER FREQUENCY IN MHZ 000.1 TO 999.9;;1068/18;3-5;M
8;ZONE OF FIRE DESIGNATOR;;;8A;ZONE OF FIRE DESIGNATOR;;1012/211;3-4;M
