FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;AREA NAME;;;1A;AREA NAME;;1022/69;1-38;M
2;AREA TYPE;;;2A;AREA TYPE;;1284/17;2-10;M
3;ALTITUDE OR ALTITUDE BAND;;;3A;ALTITUDE, HUNDREDS OF FEET;ALT;1255/14;3-7;M
;ALTITUDE OR ALTITUDE BAND;;;3B;ALTITUDE BAND;ALTBAND;2100;;
4;AREA GEOMETRY;;;4A;RADIUS, IN, FT, YD, KF, SM, NM, MM, CM, M, KM, HM;CIRC;2490;2-22;O
;AREA GEOMETRY;;;4B;ELLIPTICAL AREA, DIMENSIONS AND MAJOR AXIS ORIENTATION;ELL;2494;;
;AREA GEOMETRY;;;4C;SECTOR GEOMETRY WITH OUTER RANGE;SECTO;2526;;
;AREA GEOMETRY;;;4D;SECTOR GEOMETRY WITH INNER AND OUTER RANGE;SECTIO;2527;;
5;AREA COORDINATES OR ORIGIN;;;5A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;4-22;C*
;AREA COORDINATES OR ORIGIN;;;5B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;AREA COORDINATES OR ORIGIN;;;5C;ICAO LOCATION INDICATOR;ICAO;1125/1;;
