FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;RENDEZVOUS/BREAKUP ACTIVITY TYPE;;;1A;RENDEZVOUS BREAKUP ACTIVITY TYPE;;1299/19;3-3;M
2;RENDEZVOUS/BREAKUP POSITION;;;2A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-54;O
;RENDEZVOUS/BREAKUP POSITION;;;2B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;RENDEZVOUS/BREAKUP POSITION;;;2C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;RENDEZVOUS/BREAKUP POSITION;;;2D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;RENDEZVOUS/BREAKUP POSITION;;;2E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;RENDEZVOUS/BREAKUP POSITION;;;2F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;RENDEZVOUS/BREAKUP POSITION;;;2G;GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE;GEO;2018;;
;RENDEZVOUS/BREAKUP POSITION;;;2H;BEARING AND DISTANCE FROM REFERENCE POINT;BAR;2157;;
;RENDEZVOUS/BREAKUP POSITION;;;2I;LOCATION NAME;LOC;1022/4;;
3;RENDEZVOUS/BREAKUP ALTITUDE;;;3A;ALTITUDE, HUNDREDS OF FEET;ALT;1255/14;3-5;M
;RENDEZVOUS/BREAKUP ALTITUDE;;;3B;FLIGHT LEVEL;;2129;;
4;RENDEZVOUS/BREAKUP TIME;;;4A;RELATIVE AIRCRAFT ARRIVAL TIME;REL;2482;6-7;M
;RENDEZVOUS/BREAKUP TIME;;;4B;DAY-TIME OF ARRIVAL;ARRV;2000;;
5;RENDEZVOUS LEADER INDICATOR;;;5A;RENDEZVOUS LEADER INDICATOR;;1359/21;1-1;M
6;MISSION IDENTIFIER;;;6A;CONTACT CALL SIGN;CS;1129/31;1-20;M
;MISSION IDENTIFIER;;;6B;RENDEZVOUS AIRCRAFT MISSION NUMBER;MN;1012/242;;
7;PRIMARY COMMUNICATION PARAMETERS;;;7A;PRIMARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;PFREQ;1068/13;1-49;M
;PRIMARY COMMUNICATION PARAMETERS;;;7B;PRIMARY FREQUENCY DESIGNATOR;PDESIG;1396/2;;
;PRIMARY COMMUNICATION PARAMETERS;;;7C;HAVE QUICK PARAMETERS WITH MICKEY NET CONTROLLER;PHVQKM;2534;;
;PRIMARY COMMUNICATION PARAMETERS;;;7D;HAVE QUICK PARAMETERS WITHOUT MICKEY NET CONTROLLER;PHVQK;2535;;
8;SECONDARY COMMUNICATION PARAMETERS;;;8A;SECONDARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;SFREQ;1068/14;1-49;O
;SECONDARY COMMUNICATION PARAMETERS;;;8B;SECONDARY FREQUENCY DESIGNATOR;SDESIG;1396/3;;
;SECONDARY COMMUNICATION PARAMETERS;;;8C;HAVE QUICK PARAMETERS WITH MICKEY NET CONTROLLER;SHVQKM;2534;;
;SECONDARY COMMUNICATION PARAMETERS;;;8D;HAVE QUICK PARAMETERS WITHOUT MICKEY NET CONTROLLER;SHVQK;2535;;
9;RENDEZVOUS/BREAKUP TACAN CHANNEL;;;9A;RENDEZVOUS BREAKUP TACAN CHANNEL;;1012/292;2-4;O
10;LINK 16 CALL SIGN;;;10A;LINK 16 ABBREVIATED CALL SIGN;;1129/41;1-4;O
11;AIRCRAFT NUMBER;;;11A;NUMBER OF AIRCRAFT, 1-99;;1044/322;1-2;O*
12;AIRCRAFT TYPE;;;12A;AIRCRAFT BY TYPE, MODEL OR CODE;ACTYP;1015/20;2-10;C*
;AIRCRAFT TYPE;;;12B;AIRCRAFT TYPE AND MODEL, OTHER;OTHAC;1015/18;;
