FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;TARGET PRIORITY IDENTIFIER;;;1A;PRIMARY ALTERNATE TARGET DESIGNATOR;;1076/13;1-1;M
2;MISSION PRIORITY;;;2A;MISSION PRIORITY;PRI;1076/2;1-1;M
3;DAY-TIME AND MONTH OVER TARGET;;;3A;DAY-TIME AND MONTH OVER TARGET;;2030;10-10;O
4;NET TIME;;;4A;NOT EARLIER THAN DAY-TIME AND MONTH;NET;2030;9-10;C
;NET TIME;;;4B;NOT EARLIER THAN DAY-TIME TO THE SECOND, ZULU;NETS;2483;;
5;NLT TIME;;;5A;NOT LATER THAN DAY-TIME;NLT;2000;7-9;C
;NLT TIME;;;5B;NOT LATER THAN DAY-TIME TO THE SECOND, ZULU;NLTS;2483;;
6;DTG OF LATEST TIME OF INTELLIGENCE VALUE;;;6A;DTG OF LATEST TIME OF INTELLIGENCE VALUE;LTIOV;2033;14-14;M
7;RECONNAISSANCE MISSION TYPE;;;7A;RECONNAISSANCE MISSION TYPE;;1285/30;2-5;M
8;TYPE OF RECONNAISSANCE/SURVEILLANCE COVERAGE;;;8A;TYPE OF RECONNAISSANCE SURVEILLANCE COVERAGE;;1795/1;2-8;M
9;SENSOR TYPE;;;9A;SENSOR TYPE, ALPHABETICAL INDICATOR;;1677/7;2-2;O
;SENSOR TYPE;;;9B;SENSOR TYPE, NUMERIC INDICATOR;;1677/10;;
10;IMAGE QUALIFIER;;;10A;IMAGE QUALIFIER;IMQ;1677/6;1-2;C
11;IMAGERY COVERAGE;;;11A;IMAGERY COVERAGE EXTENT AND MODE;CM;1677/4;1-1;M
12;RECONNAISSANCE MISSION PURPOSE;;;12A;RECONNAISSANCE MISSION PURPOSE;;1435/1;1-1;M
13;TYPE OF INTELLIGENCE TASK;;;13A;TYPE OF INTELLIGENCE TASK;;1285/28;3-3;M
14;COMPONENT TARGET IDENTIFIER;;;14A;COMPONENT TARGET IDENTIFIER;CTGT;1416/5;1-18;O
;COMPONENT TARGET IDENTIFIER;;;14B;TARGET ENTITY ID REFERENCE NUMBER;EIRN;2085;;
15;TARGET CATEGORY CODE;;;15A;TARGET CATEGORY CODE;;1309/2;2-2;M
16;ESSENTIAL ELEMENTS OF INFORMATION (EEI) OF TARGET CATEGORY;;;16A;ESSENTIAL ELEMENTS OF INFORMATION (EEI) OF TARGET CATEGORY;;1802/1;2-6;M*
