FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;TARGET MOBILITY CLASSIFICATION;;;1A;TARGET MOBILITY CLASSIFICATION;;1732/2;3-6;M
2;STATUS OF TARGET OPERABILITY;;;2A;STATUS OF TARGET OPERABILITY;;1236/24;3-7;M
3;STATUS OF TARGET SERVICEABILITY;;;3A;STATUS OF TARGET SERVICEABILITY;;1236/25;3-7;M
4;NUMBER OF TAGRGET ELEMENTS;;;4A;NUMBER OF TARGET ELEMENTS;TEN;1044/83;1-4;M
;NUMBER OF TAGRGET ELEMENTS;;;4B;NUMBER OF ITEMS OF EQUIPMENT COUNTED OBSERVED;EQPN;1044/97;;
5;TARGET PERCENTAGE COVERED;;;5A;TARGET PERCENTAGE COVERED;;1064/43;1-3;M
6;EVALUATION OF ACCURACY;;;6A;EVALUATION OF ACCURACY;;1251/1;1-1;M
7;DESCRIPTION OF TARGET ELEMENT OR EQUIPMENT;;;7A;TARGET ELEMENT DESCRIPTION;TED;1363/7;1-20;M
;DESCRIPTION OF TARGET ELEMENT OR EQUIPMENT;;;7B;EQUIPMENT TYPE;EQPT;1135/1;;
8;ACTIVITY TYPE, LITERAL;;;8A;ACTIVITY TYPE, LITERAL;;1299/10;1-13;M
9;CHANGE SIGNIFICANCE;;;9A;CHANGE SIGNIFICANCE;;1671/1;3-3;M
10;IMAGERY CONFIRMATION;;;10A;IMAGERY CONFIRMATION;;1027/7;2-3;M
11;TARGET DESIRED MEAN POINT OF IMPACT (DMPI) IDENTIFIER;;;11A;TARGET DESIRED MEAN POINT OF IMPACT (DMPI) IDENTIFIER;;1416/7;1-30;O
12;WEAPON IMPACT POINT;;;12A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;O
;WEAPON IMPACT POINT;;;12B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;WEAPON IMPACT POINT;;;12C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;WEAPON IMPACT POINT;;;12D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;WEAPON IMPACT POINT;;;12E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;WEAPON IMPACT POINT;;;12F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;WEAPON IMPACT POINT;;;12G;TRUE BEARING AND DISTANCE;TBR;2410;;
;WEAPON IMPACT POINT;;;12H;AUTOMATED TACTICAL TARGET GRAPHIC ANNOTATION;NOT;1411/2;;
13;DEGRADATION;;;13A;EXTENT OF DEGRADATION;;1088/8;1-3;O
;DEGRADATION;;;13B;DEGRADATION PERCENTAGE;;1064/42;;
14;TYPE OF REPAIR ON TARGET;;;14A;TYPE OF REPAIR ON TARGET;;1676/2;1-38;O
15;EFFORT REQUIRED TO REPAIR;;;15A;EFFORT REQUIRED TO REPAIR;;1729/2;1-38;O
16;REASON TARGET OPERATIONAL STATUS IS DEGRADED;;;16A;REASON TARGET OPERATIONAL STATUS IS DEGRADED;;1235/2;2-5;O
