FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;REQUEST IDENTIFIER;;;1A;REQUEST IDENTIFIER;;1012/144;1-11;M
2;DESCRIPTION OF TASK AREA;;;2A;TASK AREA IDENTIFIER;;1246/52;1-38;M
;DESCRIPTION OF TASK AREA;;;2B;AUTOMATED TACTICAL TARGET GRAPHIC;ATG;1411/1;;
;DESCRIPTION OF TASK AREA;;;2C;TASK NAME;AREA;1022/329;;
3;MISSION LOCATION;;;3A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;C*
;MISSION LOCATION;;;3B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;MISSION LOCATION;;;3C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;MISSION LOCATION;;;3D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;MISSION LOCATION;;;3E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;MISSION LOCATION;;;3F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
