FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;FIRST CORNER;;;1A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;FIRST CORNER;;;1B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;FIRST CORNER;;;1C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;FIRST CORNER;;;1D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;FIRST CORNER;;;1E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;FIRST CORNER;;;1F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
2;SECOND CORNER;;;2A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;SECOND CORNER;;;2B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;SECOND CORNER;;;2C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;SECOND CORNER;;;2D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;SECOND CORNER;;;2E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;SECOND CORNER;;;2F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
3;THIRD CORNER;;;3A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;THIRD CORNER;;;3B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;THIRD CORNER;;;3C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;THIRD CORNER;;;3D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;THIRD CORNER;;;3E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;THIRD CORNER;;;3F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
4;FOURTH CORNER;;;4A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;FOURTH CORNER;;;4B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;FOURTH CORNER;;;4C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;FOURTH CORNER;;;4D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;FOURTH CORNER;;;4E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;FOURTH CORNER;;;4F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
5;FIRST INNER CORNER;;;5A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;O
;FIRST INNER CORNER;;;5B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;FIRST INNER CORNER;;;5C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;FIRST INNER CORNER;;;5D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;FIRST INNER CORNER;;;5E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;FIRST INNER CORNER;;;5F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
6;SECOND INNER CORNER;;;6A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;C
;SECOND INNER CORNER;;;6B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;SECOND INNER CORNER;;;6C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;SECOND INNER CORNER;;;6D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;SECOND INNER CORNER;;;6E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;SECOND INNER CORNER;;;6F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
7;THIRD INNER CORNER;;;7A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;C
;THIRD INNER CORNER;;;7B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;THIRD INNER CORNER;;;7C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;THIRD INNER CORNER;;;7D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;THIRD INNER CORNER;;;7E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;THIRD INNER CORNER;;;7F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
8;FOURTH INNER CORNER;;;8A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;C
;FOURTH INNER CORNER;;;8B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;FOURTH INNER CORNER;;;8C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;FOURTH INNER CORNER;;;8D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;FOURTH INNER CORNER;;;8E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;FOURTH INNER CORNER;;;8F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
