FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;PRIMARY FREQUENCY;;;1A;PRIMARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;PFREQ;1068/13;1-49;M
;PRIMARY FREQUENCY;;;1B;PRIMARY FREQUENCY DESIGNATOR;PDESIG;1396/2;;
;PRIMARY FREQUENCY;;;1C;HAVE QUICK PARAMETERS WITH MICKEY NET CONTROLLER;PHVQKM;2534;;
;PRIMARY FREQUENCY;;;1D;HAVE QUICK PARAMETERS WITHOUT MICKEY NET CONTROLLER;PHVQK;2535;;
2;SECONDARY FREQUENCY;;;2A;SECONDARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;SFREQ;1068/14;1-49;O
;SECONDARY FREQUENCY;;;2B;SECONDARY FREQUENCY DESIGNATOR;SDESIG;1396/3;;
;SECONDARY FREQUENCY;;;2C;HAVE QUICK PARAMETERS WITH MICKEY NET CONTROLLER;SHVQKM;2534;;
;SECONDARY FREQUENCY;;;2D;HAVE QUICK PARAMETERS WITHOUT MICKEY NET CONTROLLER;SHVQK;2535;;
3;AERIAL REFUELLING SYSTEM, SPECIFIC;;;3A;AERIAL REFUELLING SYSTEM, SPECIFIC;;1579/2;3-3;O
4;FUEL TYPE;;;4A;REFUELLING FUEL GRADE;GRADE;1803/4;3-5;O
;FUEL TYPE;;;4B;NATO STANDARD AVIATION FUEL TYPE;NFUEL;1172/3;;
5;TACAN CHANNEL, RECEIVER AND TANKER;;;5A;TACAN CHANNEL, RECEIVER AND TANKER;;2486;5-9;O
6;BEACON;;;6A;BEACON;;2497;5-5;O
