FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;AERIAL REFUELLING SYSTEM;;;1A;AERIAL REFUELLING SYSTEM, SPECIFIC;;1579/2;3-3;M
2;TOTAL OFF LOAD FUEL;;;2A;OFF LOAD FUEL QUANTITY (HKG OR KLB);TOTOFFLD;2468;7-10;M
3;ALERT/CONTINGENCY OFF LOAD FUEL;;;3A;OFF LOAD FUEL QUANTITY (HKG OR KLB);ACTOFFLD;2468;7-10;O
4;PRIMARY COMMUNICATION PARAMETERS;;;4A;PRIMARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;PFREQ;1068/13;1-49;M
;PRIMARY COMMUNICATION PARAMETERS;;;4B;PRIMARY FREQUENCY DESIGNATOR;PDESIG;1396/2;;
;PRIMARY COMMUNICATION PARAMETERS;;;4C;HAVE QUICK PARAMETERS WITH MICKEY NET CONTROLLER;PHVQKM;2534;;
;PRIMARY COMMUNICATION PARAMETERS;;;4D;HAVE QUICK PARAMETERS WITHOUT MICKEY NET CONTROLLER;PHVQK;2535;;
5;SECONDARY COMMUNICATION PARAMETERS;;;5A;SECONDARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;SFREQ;1068/14;1-49;O
;SECONDARY COMMUNICATION PARAMETERS;;;5B;SECONDARY FREQUENCY DESIGNATOR;SDESIG;1396/3;;
;SECONDARY COMMUNICATION PARAMETERS;;;5C;HAVE QUICK PARAMETERS WITH MICKEY NET CONTROLLER;SHVQKM;2534;;
;SECONDARY COMMUNICATION PARAMETERS;;;5D;HAVE QUICK PARAMETERS WITHOUT MICKEY NET CONTROLLER;SHVQK;2535;;
6;RECEIVER TACAN CHANNEL;;;6A;TACAN CHANNEL, RECEIVER AND TANKER;;2486;5-9;O
7;BEACON;;;7A;BEACON;;2497;5-5;O
