FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;GRID REFERENCE LOCATION COORDINATE;;;1A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;GRID REFERENCE LOCATION COORDINATE;;;1B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;GRID REFERENCE LOCATION COORDINATE;;;1C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;GRID REFERENCE LOCATION COORDINATE;;;1D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;GRID REFERENCE LOCATION COORDINATE;;;1E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;GRID REFERENCE LOCATION COORDINATE;;;1F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;GRID REFERENCE LOCATION COORDINATE;;;1G;ICAO LOCATION INDICATOR;ICAO;1125/1;;
;GRID REFERENCE LOCATION COORDINATE;;;1H;LOCATION OR POSITION NAME;NAME;1022/6;;
2;FUEL QUANTITY;;;2A;FUEL QUANTITY;;2105;4-16;M
3;NATO STANDARD FUEL TYPE;;;3A;NATO STANDARD FUEL TYPE;;1172/1;3-5;M
4;NATO STANDARD FUEL TYPE ALTERNATE;;;4A;NATO STANDARD FUEL TYPE;ALT;1172/1;3-5;O
5;EXPLANATION;;;5A;EXPLANATION;;1357/3;1-67;C
