FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;RELOCATION PLACE NAME;;;1A;LOCATION OR POSITION NAME;NAME;1022/6;1-38;M
;RELOCATION PLACE NAME;;;1B;SHIP NAME;;1022/49;;
2;RELOCATION COUNTRY;;;2A;RELOCATION COUNTRY;;1026/4;2-2;M
3;RELOCATION POSITION;;;3A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;RELOCATION POSITION;;;3B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;RELOCATION POSITION;;;3C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;RELOCATION POSITION;;;3D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;RELOCATION POSITION;;;3E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;RELOCATION POSITION;;;3F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;RELOCATION POSITION;;;3G;NICS RELOCATION CODE;NICS;1263/2;;
