FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;BEARING, DEGREES TRUE, MAGNETIC, GRID, OR RELATIVE;;;1A;BEARING, DEGREES TRUE, MAGNETIC, GRID, OR RELATIVE;;2254;4-4;M
2;DISTANCE, YD, KYD, M, KM, OR NM;;;2A;DISTANCE, YD, KYD, M, KM, OR NM;;2268;2-8;M
3;UNIT;;;3A;UNIT;;1022/57;1-30;M
4;DAY-TIME AND MONTH;;;4A;DAY-TIME AND MONTH;;2030;10-10;M
5;STATION;;;5A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;STATION;;;5B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;STATION;;;5C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;STATION;;;5D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;STATION;;;5E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;STATION;;;5F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
6;COURSE, DEGREES TRUE OR MAGNETIC;;;6A;COURSE, DEGREES TRUE OR MAGNETIC;;2259;4-4;O
7;SPEED, KNOTS;;;7A;SPEED, KNOTS;;2265;4-7;O
