FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;REQUEST LOCATION;;;1A;REQUEST LOCATION;;1284/6;4-8;M
2;LOCATION;;;2A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;LOCATION;;;2B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;LOCATION;;;2C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;LOCATION;;;2D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;LOCATION;;;2E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;LOCATION;;;2F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;LOCATION;;;2G;GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE;GEO;2018;;
3;TARGET;;;3A;TARGET RADIUS, FT, YD, SM, NM, M, KM, HF;RAD;2178;2-23;C
;TARGET;;;3B;TARGET WIDTH, FT, YD, SM, NM, M, KM, HF;WDTH;2179;;
;TARGET;;;3C;ELLIPTICAL TARGET AREA;ELP;2180;;
4;ELEVATION IN METRES;;;4A;ELEVATION IN METRES;;1344/2;4-4;O
5;DAY-TIME AND MONTH;;;5A;DAY-TIME AND MONTH;;2030;10-10;O
6;ADDITIONAL LOCATION;;;6A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;C*
;ADDITIONAL LOCATION;;;6B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;ADDITIONAL LOCATION;;;6C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;ADDITIONAL LOCATION;;;6D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;ADDITIONAL LOCATION;;;6E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;ADDITIONAL LOCATION;;;6F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;ADDITIONAL LOCATION;;;6G;GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE;GEO;2018;;
