FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;DTG ON TARGET;;;1A;DTG ON TARGET;;2033;14-14;M
2;RELEASE ACHIEVED INDICATOR;;;2A;RELEASE ACHIEVED INDICATOR;;1027/88;2-3;M
3;NON RELEASE REASON;;;3A;NON RELEASE REASON;;1212/12;2-5;C
4;ORDNANCE DELIVERY METHOD;;;4A;ORDNANCE DELIVERY METHOD;;1349/7;3-6;C
5;MISSION SUCCESS;;;5A;MISSION SUCCESS;;1150/8;3-4;M
6;MISSION RESULTS;;;6A;MISSION RESULTS;;1088/9;3-8;M
7;MISSED TARGET REASON;;;7A;MISSED TARGET REASON;;1212/13;1-30;C
8;WEAPON TYPE EXPENDED;;;8A;WEAPON TYPE EXPENDED;;1407/48;1-10;O
9;QUANTITY OF ORDNANCE EXPENDED;;;9A;QUANTITY OF ORDNANCE EXPENDED;;1044/225;1-5;C
10;FUZE TYPE;;;10A;FUZE TYPE;;1192/1;2-20;O
11;FUZE POSITION;;;11A;FUZE POSITION;;1223/2;3-7;O
12;WEAPON FUZE TYPE;;;12A;WEAPON FUZE TYPE;;1192/8;3-6;O
13;FUZE DELAY SETTING;;;13A;FUZE DELAY SETTING;;1192/9;4-6;O
14;AIRCRAFT HEADING IN DEGREES AT RELEASE;;;14A;AIRCRAFT HEADING IN DEGREES AT RELEASE;;2065;4-4;O
15;AIRCRAFT ALTITUDE IN HUNDREDS OF FEET AT RELEASE;;;15A;AIRCRAFT ALTITUDE IN HUNDREDS OF FEET AT RELEASE;;1255/17;3-3;O
16;DIVE ANGLE OF ATTACK;;;16A;DIVE ANGLE OF ATTACK;;1043/26;1-2;O
17;AIRCRAFT AIRSPEED AT RELEASE IN KPH, KTS, MPH;;;17A;AIRCRAFT AIRSPEED AT RELEASE IN KPH, KTS, MPH;;2461;4-6;O
18;RELEASE POSITION TO TARGET, BEARING AND DISTANCE;;;18A;RELEASE POSITION TO TARGET, BEARING AND DISTANCE;;2157;9-54;O
19;TARGET DISTANCE;;;19A;SLANT RANGE IN FEET;SR;2439;7-7;O
;TARGET DISTANCE;;;19B;HORIZONTAL RANGE IN FEET;HR;2439;;
20;WEAPON IMPACT POINT;;;20A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;12-22;O
21;IMPACT AZIMUTH;;;21A;IMPACT AZIMUTH;;1043/27;3-5;O
22;ENEMY ACTIVITY TYPE;;;22A;ENEMY ACTIVITY TYPE;;1299/9;2-8;O
23;ACTIVITY LOCATION;;;23A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;O
;ACTIVITY LOCATION;;;23B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;ACTIVITY LOCATION;;;23C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;ACTIVITY LOCATION;;;23D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;ACTIVITY LOCATION;;;23E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;ACTIVITY LOCATION;;;23F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
24;MEDIA TYPE;;;24A;MEDIA TYPE OF IDENTIFICATION;;1862/13;2-5;O
25;MEDIA REFERENCE NUMBER;;;25A;MEDIA REFERENCE NUMBER;;1012/294;1-4;C
