FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;CONSTRICTION DESCRIPTION;;;1A;CONSTRICTION DESCRIPTION;;1363/64;1-30;M
2;COSTRICTION LOCATION;;;2A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;COSTRICTION LOCATION;;;2B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;COSTRICTION LOCATION;;;2C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;COSTRICTION LOCATION;;;2D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;COSTRICTION LOCATION;;;2E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;COSTRICTION LOCATION;;;2F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
3;PASSABILITY;;;3A;PASSABILITY;;1848/1;4-5;M
4;HEIGHT OF LIMITING CONSTRICTION;;;4A;HEIGHT OF LIMITING CONSTRICTION;HI;2452;2-7;M
5;WIDTH OF LIMITING CONSTRICTION;;;5A;WIDTH OF LIMITING CONSTRICTION;WI;2451;2-7;M
6;LENGTH OF LIMITING CONSTRICTION;;;6A;LENGTH OF LIMITING CONSTRICTION;LE;2454;2-7;M
7;GRADIENT;;;7A;GRADIENT;GRD;1789/1;1-2;M
8;MAXIMUM LOAD SUPPORTED IN METRIC TONS;;;8A;MAXIMUM LOAD SUPPORTED IN METRIC TONS;WT;1855/1;1-3;M
