FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;LOCATION;;;1A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;LOCATION;;;1B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;LOCATION;;;1C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;LOCATION;;;1D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;LOCATION;;;1E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;LOCATION;;;1F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;LOCATION;;;1G;GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE;GEO;2018;;
;LOCATION;;;1H;ICAO LOCATION INDICATOR;ICAO;1125/1;;
;LOCATION;;;1I;LOCATION OR POSITION NAME;LOC;1022/6;;
2;AIRFIELD RESTRICTIONS;;;2A;AIRFIELD RESTRICTIONS;;1353/1;4-4;M*
3;EXPLANATION;;;3A;EXPLANATION;;1357/3;1-67;M*
