FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;RADAR WARNING RECEIVER TYPE;;;1A;RADAR WARNING RECEIVER TYPE;RWR;1135/25;3-6;M
2;ALE-50 ONBOARD;;;2A;ALE-50 ONBOARD INDICATOR;;1027/111;2-3;M
3;RADAR WARNING RECEIVER OPERATIONAL FLIGHT PROGRAM;;;3A;RADAR WARNING RECEIVER OPERATIONAL FLIGHT PROGRAM;OFP;1022/100;1-25;O
4;RADAR WARNING RECEIVER MULTI FUNCTION DISPLAY;;;4A;RADAR WARNING RECEIVER MULTI FUNCTION DISPLAY;MFD;1022/105;1-25;O
5;RADAR WARNING RECEIVER SYMBOLOGY, STEADY;;;5A;RADAR WARNING RECEIVER SYMBOLOGY, STEADY;;1022/116;1-20;O
6;RADAR WARNING RECEIVER SYMBOLOGY, MIPPLE;;;6A;RADAR WARNING RECEIVER SYMBOLOGY, MIPPLE;;1022/117;1-20;O
7;RADAR WARNING RECEIVER SYMBOLOGY, RESOLVED TO;;;7A;RADAR WARNING RECEIVER SYMBOLOGY, RESOLVED TO;;1022/73;1-20;C
8;RADAR WARNING RECEIVER SYMBOLOGY, TEMPORARY;;;8A;RADAR WARNING RECEIVER SYMBOLOGY, TEMPORARY;;1022/85;1-20;O
9;RADAR WARNING RECEIVER AUDIO HEARD;;;9A;RADAR WARNING RECEIVER AUDIO HEARD;;1027/112;2-3;M
10;RADAR WARNING RECEIVER AUDIO TYPE;;;10A;RADAR WARNING RECEIVER AUDIO TYPE;;1862/7;1-38;C
11;RADAR WARNING RECEIVER MISSILE LAUNCH WARNING INDICATOR;;;11A;RADAR WARNING RECEIVER MISSILE LAUNCH WARNING INDICATOR;;1027/113;2-3;M
12;RADAR WARNING RECEIVER SYMBOL POSITION ON SCOPE;;;12A;RADAR WARNING RECEIVER SYMBOL POSITION ON SCOPE;;1022/95;1-25;C
13;ENEMY MISSILE LAUNCHED;;;13A;ENEMY MISSILE LAUNCHED;;1027/114;2-3;M
14;RADAR WARNING RECEIVER CREDIBILITY;;;14A;RADAR WARNING RECEIVER CONFIDENCE;;1123/14;3-5;M
15;RADAR WARNING RECEIVER AUDIO CORRELATION TO TTR;;;15A;RADAR WARNING RECEIVER AUDIO CORRELATION TO TTR;;1027/115;2-3;M
