FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;UNIT DESIGNATOR;;;1A;UNIT DESIGNATOR;;1028/43;1-24;M
2;POC PHONE NUMBER;;;2A;NON-SECURE TELEPHONE;TEL;1361/3;3-20;O
;POC PHONE NUMBER;;;2B;SECURE TELEPHONE NUMBER;SECTEL;1361/4;;
3;PRIMARY JTIDS UNIT (JU) ADDRESS;;;3A;JTIDS UNIT (JU) SOURCE TRACK NUMBER;;1625/40;5-5;M
4;SADL NETWORK TYPE;;;4A;SADL NETWORK TYPE;;1378/3;3-7;M
5;SADL DATA LINK MODE;;;5A;SADL DATA LINK MODE;;1378/4;6-7;O
6;SADL AIR KEY;;;6A;SADL AIR KEY;;1012/604;1-2;M
7;SADL GATEWAY KEY;;;7A;SADL GATEWAY KEY;;1012/608;1-1;M
8;FREQUENCY CHANNEL;;;8A;FREQUENCY CHANNEL;;2808;2-2;M
9;GROUND KEY FREQUENCY MAP;;;9A;SADL FREQUENCY MAP;;1012/607;1-1;M
10;GATEWAY RANGE SETTING;;;10A;GATEWAY RANGE SETTING;;1181/11;4-5;M
11;SADL POWER LEVEL IN WATTS;;;11A;SADL POWER LEVEL IN WATTS;;1649/3;1-3;M
12;LINK 16 HOST JTIDS UNIT ADDRESS;;;12A;LINK 16 HOST JTIDS UNIT ADDRESS;;1625/41;5-5;M
13;LINK 16 PROTOCOL;;;13A;LINK 16 PROTOCOL;;1319/2;2-8;M
14;GATEWAY ACCESS PHONE NUMBER;;;14A;GATEWAY ACCESS PHONE NUMBER;;1361/16;2-20;C
15;GATEWAY ACCESS TCP-IP ADDRESS, IPV4;;;15A;GATEWAY ACCESS TCP-IP ADDRESS, IPV4;;2004;7-15;C
16;TCP/IP PORT NUMBER;;;16A;TCP IP PORT NUMBER;;1012/609;1-5;C
17;UNIT REFERENCE NUMBER;;;17A;UNIT REFERENCE NUMBER_1;;1028/52;8-8;O*
