FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;REPORTING AIRCRAFT POSITION;;;1A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;12-22;M
2;DTG OF EVENT;;;2A;DTG OF EVENT;;2033;14-14;M
3;REPORTING AIRCRAFT ALTITUDE IN HUNDREDS OF FEET;;;3A;REPORTING AIRCRAFT ALTITUDE IN HUNDREDS OF FEET;;1255/18;3-3;M
4;REPORTING AIRCRAFT HEADING IN DEGREES;;;4A;REPORTING AIRCRAFT HEADING IN DEGREES;;2065;4-4;M
5;AIRCRAFT AIRSPEED;;;5A;AIRCRAFT AIRSPEED IN KPH, KTS, MPH;;2461;4-6;O
6;BEARING FROM AIRCRAFT TO EVENT;;;6A;BEARING FROM AIRCRAFT TO EVENT, DEGREES TRUE;;2253;4-4;M
7;ESTIMATED LAUNCH POSITION;;;7A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;12-22;O
8;SURFACE-TO-AIR FIRE TYPE;;;8A;SURFACE-TO-AIR FIRE TYPE;;1862/14;3-5;M
9;ORDNANCE/WEAPON TYPE, SURFACE-TO-AIR;;;9A;ORDNANCE WEAPON TYPE, SURFACE-TO-AIR;;1407/5;2-6;M
10;METHOD OF ACQUISITION;;;10A;METHOD OF ACQUISITION;;1866/7;3-4;M
11;RADAR WARNING RECEIVER INDICATIONS RECEIVED;;;11A;RADAR WARNING RECEIVER INDICATIONS RECEIVED INDICATOR;;1027/89;2-3;C
12;PLUME COLOUR AT LAUNCH;;;12A;PLUME COLOUR AT LAUNCH;PL;1138/3;3-6;O
;PLUME COLOUR AT LAUNCH;;;12B;MUZZLE FLASH COLOUR;MZ;1138/4;;
13;PLUME COLOUR IN FLIGHT;;;13A;PLUME COLOUR IN FLIGHT;PC;1138/13;3-6;O
;PLUME COLOUR IN FLIGHT;;;13B;TRACER COLOUR;TC;1138/14;;
14;NUMBER OF ENEMY MISSILES LAUNCHED;;;14A;NUMBER OF ENEMY MISSILES LAUNCHED;SAM;1012/123;1-2;O
;NUMBER OF ENEMY MISSILES LAUNCHED;;;14B;NUMBER OF ENEMY GUNS FIRED;AAA;1012/179;;
15;ATTACK INTENSITY;;;15A;ATTACK INTENSITY;;1293/1;3-5;O
16;DURATION OF FIRE IN MINUTES;;;16A;DURATION OF FIRE IN MINUTES;;1072/21;1-3;O
17;GUIDANCE TYPE;;;17A;GUIDANCE TYPE;;1862/15;6-8;O
18;SAM APEX ALTITUDE;;;18A;SAM APEX ALTITUDE, FEET OR METRES;;2531;6-7;O
19;AIRBURST ALTITUDE, FEET OR METRES;;;19A;AIRBURST ALTITUDE, FEET OR METRES;;2531;6-7;O
20;AIRBURST COLOUR;;;20A;AIRBURST COLOUR;;1138/15;3-6;O
21;AIRBURST SIZE;;;21A;AIRBURST SIZE;;1170/2;3-3;O
22;CLOSEST MISSED POSITION;;;22A;CLOSEST MISSED POSITION;;2140;3-6;O
23;PILOT THREAT PERCEPTION;;;23A;PILOT THREAT PERCEPTION;;1174/2;3-4;O
