FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;TIME OF ARRIVAL;;;1A;DAY-TIME OF ARRIVAL;;2000;7-10;M
;TIME OF ARRIVAL;;;1B;DAY-TIME AND MONTH OF ARRIVAL;;2030;;
2;POSITION;;;2A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-35;M
;POSITION;;;2B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;POSITION;;;2C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;POSITION;;;2D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;POSITION;;;2E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;POSITION;;;2F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;POSITION;;;2G;PLACE NAME;NAME;1022/170;;
;POSITION;;;2H;TRUE BEARING AND DISTANCE FROM REF POINT;TBR;2047;;
;POSITION;;;2I;Q-ROUTE POSITION;QPOS;2203;;
3;TIME OF DEPARTURE;;;3A;DAY-TIME OF DEPARTURE;;2000;7-10;O
;TIME OF DEPARTURE;;;3B;DAY-TIME AND MONTH OF DEPARTURE;;2030;;
