FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;DATE-TIME MONTH OF DEPARTURE, VERIFIED;;;1A;DATE-TIME MONTH OF DEPARTURE, VERIFIED;;2032;11-11;M
2;PLACE OF DEPARTURE;;;2A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-38;M
;PLACE OF DEPARTURE;;;2B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;PLACE OF DEPARTURE;;;2C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;PLACE OF DEPARTURE;;;2D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;PLACE OF DEPARTURE;;;2E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;PLACE OF DEPARTURE;;;2F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;PLACE OF DEPARTURE;;;2G;DEPARTURE PLACE NAME;NAME;1022/42;;
3;DATE-TIME MONTH OF ARRIVAL, VERIFIED;;;3A;DATE-TIME MONTH OF ARRIVAL, VERIFIED;;2032;11-11;M
4;PLACE OF ARRIVAL;;;4A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-38;M
;PLACE OF ARRIVAL;;;4B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;PLACE OF ARRIVAL;;;4C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;PLACE OF ARRIVAL;;;4D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;PLACE OF ARRIVAL;;;4E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;PLACE OF ARRIVAL;;;4F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;PLACE OF ARRIVAL;;;4G;ARRIVAL PLACE NAME;NAME;1022/41;;
