FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;DEPARTURE LOCATION;;;1A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;DEPARTURE LOCATION;;;1B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;DEPARTURE LOCATION;;;1C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;DEPARTURE LOCATION;;;1D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;DEPARTURE LOCATION;;;1E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;DEPARTURE LOCATION;;;1F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;DEPARTURE LOCATION;;;1G;DEPARTURE PORT;PORT;1022/82;;
;DEPARTURE LOCATION;;;1H;DESIGNATED AREA NAME;NAME;1022/102;;
;DEPARTURE LOCATION;;;1I;DEPARTURE PORT CODE;CODE;1182/4;;
2;DTG OF DEPARTURE;;;2A;DTG OF DEPARTURE;;2033;14-14;M
3;ARRIVAL LOCATION;;;3A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;ARRIVAL LOCATION;;;3B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;ARRIVAL LOCATION;;;3C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;ARRIVAL LOCATION;;;3D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;ARRIVAL LOCATION;;;3E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;ARRIVAL LOCATION;;;3F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;ARRIVAL LOCATION;;;3G;ARRIVAL PORT;PORT;1022/396;;
;ARRIVAL LOCATION;;;3H;DESIGNATED AREA NAME;NAME;1022/102;;
;ARRIVAL LOCATION;;;3I;ARRIVAL PORT CODE;CODE;1182/2;;
4;DTG OF ARRIVAL;;;4A;DTG OF ARRIVAL;;2033;14-14;M
