FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;CIRCUIT TITLE;;;1A;CIRCUIT TITLE;;1022/142;1-50;M
2;PRIMARY SATCOM RELAY UNIT;;;2A;UNIT;;1022/57;1-30;M
3;PRIMARY RELAY SHIP CIRCUIT;;;3A;PRIMARY FREQUENCY;;2064;3-14;M
;PRIMARY RELAY SHIP CIRCUIT;;;3B;CIRCUIT LINE NUMBER;;1012/298;;
4;SECONDARY SATCOM RELAY UNIT;;;4A;UNIT;;1022/57;1-30;M
5;SECONDARY RELAY SHIP CIRCUIT;;;5A;SECONDARY FREQUENCY;;2064;3-14;M
;SECONDARY RELAY SHIP CIRCUIT;;;5B;CIRCUIT LINE NUMBER;;1012/298;;
6;SHIP-SHORE SATCOM RELAY UNIT;;;6A;UNIT;;1022/57;1-30;M
7;SHIP-SHORE RELAY SHIP CIRCUIT;;;7A;SHIP-SHORE FREQUENCY;;2064;3-14;M
;SHIP-SHORE RELAY SHIP CIRCUIT;;;7B;CIRCUIT LINE NUMBER;;1012/298;;
8;SHIP-SHORE KEYMAT;;;8A;SHIP-SHORE KEYMAT;;1078/6;8-20;M
