FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;SAW MISSION NUMBER;;;1A;SAW MISSION NUMBER;;1012/5;1-8;M
2;PRIMARY SURFACE-TO-AIR MISSION TYPE;;;2A;PRIMARY SURFACE-TO-AIR MISSION TYPE;;1285/36;2-3;M
3;SECONDARY SURFACE-TO-AIR MISSION TYPE;;;3A;SECONDARY SURFACE-TO-AIR MISSION TYPE;;1285/37;2-3;O
4;CALL SIGN;;;4A;CONTACT CALL SIGN;;1129/31;1-20;O
5;PRIMARY COMMUNICATION PARAMETERS;;;5A;PRIMARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;PFREQ;1068/13;1-49;O
;PRIMARY COMMUNICATION PARAMETERS;;;5B;PRIMARY FREQUENCY DESIGNATOR;PDESIG;1396/2;;
;PRIMARY COMMUNICATION PARAMETERS;;;5C;HAVE QUICK PARAMETERS WITH MICKEY NET CONTROLLER;PHVQKM;2534;;
;PRIMARY COMMUNICATION PARAMETERS;;;5D;HAVE QUICK PARAMETERS WITHOUT MICKEY NET CONTROLLER;PHVQK;2535;;
6;SECONDARY COMMUNICATION PARAMETERS;;;6A;SECONDARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;SFREQ;1068/14;1-49;C
;SECONDARY COMMUNICATION PARAMETERS;;;6B;SECONDARY FREQUENCY DESIGNATOR;SDESIG;1396/3;;
;SECONDARY COMMUNICATION PARAMETERS;;;6C;HAVE QUICK PARAMETERS WITH MICKEY NET CONTROLLER;SHVQKM;2534;;
;SECONDARY COMMUNICATION PARAMETERS;;;6D;HAVE QUICK PARAMETERS WITHOUT MICKEY NET CONTROLLER;SHVQK;2535;;
7;LINK 16 CALL SIGN;;;7A;LINK 16 ABBREVIATED CALL SIGN;;1129/41;1-4;O
8;DEFENDED ASSET NAME;;;8A;DEFENDED ASSET NAME;;1022/36;1-30;O*
9;DEFENDED ASSET PRIORITY;;;9A;DEFENDED ASSET PRIORITY;;1076/21;1-3;C*
10;DEFENDED ASSET LOCATION;;;10A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;8-54;C*
;DEFENDED ASSET LOCATION;;;10B;BEARING AND DISTANCE FROM REFERENCE POINT;BAR;2157;;
;DEFENDED ASSET LOCATION;;;10C;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;DEFENDED ASSET LOCATION;;;10D;GEOGRAPHIC POSITION, GEOREF, MINUTE;GEO;2017;;
