FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;ORDER IDENTIFICATION;;;1A;ORDER IDENTIFICATION;;1012/293;5-5;M
2;EFFECTIVE DTG;;;2A;EFFECTIVE DTG;;2033;14-14;M
3;CONTROLLING UNIT;;;3A;UNIT DESIGNATOR;UNIT;1028/43;1-24;M
;CONTROLLING UNIT;;;3B;UNIT IDENTIFICATION CODE (UIC2);UIC2;2243;;
;CONTROLLING UNIT;;;3C;UNIT IDENTIFICATION CODE (UIC3);UIC3;2241;;
4;CONTROLLING UNIT LOCATION;;;4A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;O
;CONTROLLING UNIT LOCATION;;;4B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;CONTROLLING UNIT LOCATION;;;4C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;CONTROLLING UNIT LOCATION;;;4D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;CONTROLLING UNIT LOCATION;;;4E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;CONTROLLING UNIT LOCATION;;;4F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;CONTROLLING UNIT LOCATION;;;4G;ICAO BASE CODE;ICAO;1125/2;;
;CONTROLLING UNIT LOCATION;;;4H;LOCATION NAME;NAME;1022/4;;
5;NUMBER OF AIRCRAFT SCRAMBLED;;;5A;NUMBER OF AIRCRAFT, 1-99;;1044/322;1-2;O
6;AIRCRAFT TYPE;;;6A;AIRCRAFT BY TYPE, MODEL OR CODE;ACTYP;1015/20;2-10;O
;AIRCRAFT TYPE;;;6B;AIRCRAFT TYPE AND MODEL, OTHER;OTHAC;1015/18;;
7;MISSION NUMBER;;;7A;MISSION NUMBER;;1012/69;1-8;O
8;SCRAMBLE ORDER;;;8A;SCRAMBLE ORDER;;1094/4;3-6;O
9;INITIAL HEADING IN DEGREES;;;9A;INITIAL HEADING IN DEGREES;;2065;4-4;O
10;INITIAL ALTITUDE;;;10A;INITIAL ALTITUDE IN HUNDREDS OF FEET;HRDFT;1255/16;3-5;O
;INITIAL ALTITUDE;;;10B;FLIGHT LEVEL;;2129;;
11;AIRCRAFT ENGINE POWER SETTING CODE;;;11A;AIRCRAFT ENGINE POWER SETTING CODE;;1878/1;4-6;O
