FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;FLAG;;;1A;FLAG;;1026/3;2-2;M
2;SURFACE VESSEL TYPE;;;2A;SURFACE VESSEL TYPE;;1166/7;2-8;M
3;SHIP NAME;;;3A;SHIP NAME;;1022/49;1-38;M
4;INTERNATIONAL RADIO CALL SIGN;;;4A;INTERNATIONAL RADIO CALL SIGN;;1129/3;4-8;O
5;SHIP LENGTH;;;5A;SHIP LENGTH IN METRES;;1657/2;1-3;O
6;SHIP BEAM;;;6A;SHIP BEAM IN METRES;;1658/2;1-2;O
7;SHIP DRAFT;;;7A;SHIP DRAFT IN METRES;;1247/5;1-2;O
8;SHIP DISPLACEMENT;;;8A;SHIP DISPLACEMENT;;1440/2;1-6;O
9;MINIMUM SPEED;;;9A;MINIMUM SPEED IN KNOTS;;1061/5;1-2;O
10;MAXIMUM SPEED;;;10A;MAXIMUM SPEED IN KNOTS;;1061/6;1-2;O
11;VALUE OF CARGO;;;11A;VALUE OF CARGO;;1600/1;3-6;O
12;PRISMATIC COEFFICIENT;;;12A;PRISMATIC COEFFICIENT;;1587/1;4-4;O
13;MAGNETIC DEGAUSSING CODE NUMBER;;;13A;MAGNETIC DEGAUSSING CODE NUMBER;;1012/171;1-4;O
14;MAGNETIC ACOUSTIC MERIT INDEX;;;14A;MAGNETIC ACOUSTIC MERIT INDEX;;1468/2;1-3;O
