FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;SHIP NAME;;;1A;SHIP NAME;;1022/49;1-38;M
2;COUNTRY CODE;;;2A;GEOGRAPHICAL ENTITY (2A);;1262/6;2-2;M
;COUNTRY CODE;;;2B;EXERCISE GEOGRAPHICAL ENTITY;EXEN;1262/4;;
3;VESSEL CONTACT TYPE;;;3A;CONTACT VESSEL TYPE;;1166/12;2-8;O
4;DTG OF LOCATION;;;4A;DTG OF LOCATION;;2033;14-14;M
5;SHIP LOCATION;;;5A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-54;M
;SHIP LOCATION;;;5B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;SHIP LOCATION;;;5C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;SHIP LOCATION;;;5D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;SHIP LOCATION;;;5E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;SHIP LOCATION;;;5F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;SHIP LOCATION;;;5G;PORT LOCATION;PORT;2505;;
;SHIP LOCATION;;;5H;PLACE NAME, EXTENDED;NAME;1022/261;;
6;SHIP'S MOVEMENT STATUS;;;6A;COURSE IN DEGREES TRUE (000.0=359.9) AND SPEED IN KTS;;2156;3-8;M
;SHIP'S MOVEMENT STATUS;;;6B;NAVAL FORCE MOVEMENT STATUS;;1341/2;;
