FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;PRIMARY/ALTERNATE TARGET DESIGNATOR;;;1A;PRIMARY ALTERNATE TARGET DESIGNATOR;;1076/13;1-1;M
2;TIME ON TARGET;;;2A;DAY-TIME AND MONTH TASKED ON TARGET;TOT;2030;9-10;O
;TIME ON TARGET;;;2B;DAY-TIME ON TARGET TO THE SECOND, ZULU;TOTS;2483;;
3;NET TIME;;;3A;NOT EARLIER THAN DAY-TIME AND MONTH;NET;2030;10-10;C
4;NLT TIME;;;4A;NOT LATER THAN DAY-TIME;NLT;2000;7-10;C
;NLT TIME;;;4B;DAY-TIME AND MONTH OFF TARGET;TOF;2030;;
5;SHIP TARGET IDENTITY;;;5A;SHIP TARGET IDENTITY;;1416/6;3-3;M
6;VESSEL TYPE;;;6A;VESSEL TYPE;;1166/1;2-8;M
7;HULL NUMBER;;;7A;HULL NUMBER;;1012/30;1-5;O
8;SHIP NAME;;;8A;SHIP NAME;;1022/49;1-38;O
9;TARGET PRIORITY IDENTIFIER;;;9A;TARGET PRIORITY IDENTIFIER;;1076/8;1-1;M
10;TARGET PRIORITY;;;10A;TARGET PRIORITY, LITERAL;;1076/11;1-5;O
11;TARGET OBJECTIVE;;;11A;TARGET OBJECTIVE;;1456/3;1-15;O
12;POSITION DAY-TIME;;;12A;DAY-TIME OF POSITION;;2000;7-7;M
13;SHIP LOCATION;;;13A;BEARING AND DISTANCE FROM REFERENCE POINT;BAR;2157;9-54;M
;SHIP LOCATION;;;13B;GEOGRAPHIC LOCATION, LAT/LONG, CENTISECONDS;LATCS;2488;;
;SHIP LOCATION;;;13C;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;;
14;COMPONENT TARGET IDENTIFIER;;;14A;COMPONENT TARGET IDENTIFIER;CTGT;1416/5;1-18;O
;COMPONENT TARGET IDENTIFIER;;;14B;TARGET ENTITY ID REFERENCE NUMBER;EIRN;2085;;
15;COURSE;;;15A;COURSE IN DEGREES, TRUE;;1439/4;3-3;O
16;SPEED;;;16A;SPEED IN KNOTS, DECIMAL PROHIBITED;;1061/16;1-3;O
