FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;UNIT DESIGNATION;;;1A;UNIT DESIGNATION;;1028/26;1-35;M
2;SUBORDINATE UNIT DESIGNATOR;;;2A;SUBORDINATE UNIT DESIGNATOR;;1028/30;1-30;O
3;COMMAND POST LOCATION;;;3A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;O
;COMMAND POST LOCATION;;;3B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;COMMAND POST LOCATION;;;3C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;COMMAND POST LOCATION;;;3D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;COMMAND POST LOCATION;;;3E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;COMMAND POST LOCATION;;;3F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
4;SHORAD SENSOR TYPE;;;4A;SHORAD SENSOR TYPE;;1434/2;2-5;M
5;COVERAGE HEIGHT;;;5A;COVERAGE HEIGHT, FEET ABOVE MSL;;1290/3;2-5;O
6;NUMBER OF SHORAD SENSORS;;;6A;NUMBER OF SHORAD SENSORS;;1044/113;1-2;M
7;SENSOR LOCATION;;;7A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M*
;SENSOR LOCATION;;;7B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;SENSOR LOCATION;;;7C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;SENSOR LOCATION;;;7D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;SENSOR LOCATION;;;7E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;SENSOR LOCATION;;;7F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
