FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;FRIENDLY AIRCRAFT LOCATION;;;1A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;FRIENDLY AIRCRAFT LOCATION;;;1B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;FRIENDLY AIRCRAFT LOCATION;;;1C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;FRIENDLY AIRCRAFT LOCATION;;;1D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;FRIENDLY AIRCRAFT LOCATION;;;1E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;FRIENDLY AIRCRAFT LOCATION;;;1F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
2;DATE-TIME GROUP OF SIGHTING;;;2A;DTG OF SIGHTING;;2033;14-14;M
3;AIRCRAFT ALTITUDE;;;3A;FRIENDLY AIRCRAFT ALTITUDE IN HUNDREDS OF FEET;;1255/3;3-3;M
4;AIRCRAFT HEADING;;;4A;FRIENDLY AIRCRAFT HEADING IN DEGREES;;2065;4-4;M
5;AIRCRAFT SPEED;;;5A;FRIENDLY AIRCRAFT AIRSPEED IN KPH, KTS, MPH;;2461;4-6;M
6;ACTIVITY LOCATION;;;6A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M
;ACTIVITY LOCATION;;;6B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;ACTIVITY LOCATION;;;6C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;ACTIVITY LOCATION;;;6D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;ACTIVITY LOCATION;;;6E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;ACTIVITY LOCATION;;;6F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
7;SIGHTING ACTIVITY TYPE;;;7A;SIGHTING ACTIVITY TYPE;;1299/21;2-6;M
8;DESCRIPTION OF SPECIFIC ACTIVITY;;;8A;DESCRIPTION OF SPECIFIC ACTIVITY;;1363/31;1-25;M
9;NUMBER OF ELEMENT OBJECTS;;;9A;NUMBER OF ELEMENT OBJECTS;;1044/55;1-3;O
10;DESCRIPTION OF ELEMENT OBJECTS;;;10A;DESCRIPTION OF ELEMENT OBJECTS;;1363/32;1-25;O
11;DIRECTION OF MOVEMENT;;;11A;DIRECTION OF MOVEMENT IN DEGREES, WITH REFERENCE;DIR;2065;1-4;O
;DIRECTION OF MOVEMENT;;;11B;DIRECTION OF MOVEMENT (COMPASS POINT);DIRCP;1161/1;;
12;SIGHTED OBJECT SPEED;;;12A;SIGHTED OBJECT SPEED IN KPH, KTS, MPH;;2461;4-6;O
13;METHOD OF OBSERVATION;;;13A;METHOD OF OBSERVATION;;1866/8;3-5;O
14;NATIONALITY;;;14A;NATIONALITY (2A);;1262/5;2-3;O
;NATIONALITY;;;14B;NATIONALITY (3A);;1262/2;;
15;MEDIA TYPE OF IDENTIFICATION;;;15A;MEDIA TYPE OF IDENTIFICATION;;1862/13;2-5;O
16;MEDIA REFERENCE NUMBER;;;16A;MEDIA REFERENCE NUMBER;;1012/294;1-4;C
