FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;SONOBUOY PATTERN TYPE;;;1A;SONOBUOY PATTERN TYPE;;1399/1;3-8;M
2;ROW ORIENTATION, DEGREES TRUE, MAGNETIC, GRID OR RELATIVE;;;2A;ROW ORIENTATION, DEGREES TRUE, MAGNETIC, GRID OR RELATIVE;;2257;4-4;M
3;NUMBER OF SONOBUOYS PER ROW;;;3A;NUMBER OF SONOBUOYS PER ROW;;1044/194;1-2;M
4;SPACING BETWEEN SONOBUOYS, YD, KYD OR NM;;;4A;SPACING BETWEEN SONOBUOYS, YD, KYD OR NM;;2434;3-8;M
5;SPACING BETWEEN SONOBUOY ROWS, YD, KYD OR NM;;;5A;SPACING BETWEEN SONOBUOY ROWS, YD, KYD OR NM;;2434;3-8;O
6;NUMBER OF SONOBUOY ROWS;;;6A;NUMBER OF SONOBUOY ROWS;;1044/195;1-2;O
7;NUMBER OF SONOBUOYS IN PATTERN;;;7A;NUMBER OF SONOBUOYS IN PATTERN;;1044/196;1-2;O
8;SPACING, MDR;;;8A;SPACING, MDR;;2267;4-7;O
9;PROBABILITY OF DETECTION;;;9A;PROBABILITY OF DETECTION;;1064/11;1-3;O
10;FIRST CZ MINIMUM-MAXIMUM RANGE;;;10A;FIRST CZ MINIMUM-MAXIMUM RANGE;;2289;5-11;O
11;WEDGE ANGLE OR DIRECTION OF WALK;;;11A;WEDGE ANGLE, DEGREES, (1-180);;2293;4-6;O
;WEDGE ANGLE OR DIRECTION OF WALK;;;11B;DIRECTION OF WALK, DEGREES TRUE;;2253;;
