FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;AREA NAME, SOPAREA;;;1A;AREA NAME;;1022/69;1-38;M
2;DATE-TIME MONTH OF START, VERIFIED;;;2A;DATE-TIME MONTH OF START, VERIFIED;;2032;11-11;M
3;VERIFIED TIME OF STOP;;;3A;DATE-TIME MONTH OF STOP, VERIFIED;;2032;3-11;M
;VERIFIED TIME OF STOP;;;3B;TIME QUALIFIER UNTIL FURTHER NOTICE;;1220/5;;
4;AREA LOCATION OR NAME;;;4A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-36;M*
;AREA LOCATION OR NAME;;;4B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;AREA LOCATION OR NAME;;;4C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;AREA LOCATION OR NAME;;;4D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;AREA LOCATION OR NAME;;;4E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;AREA LOCATION OR NAME;;;4F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;AREA LOCATION OR NAME;;;4G;SUBMARINE GRID SYSTEM AREA DESIGNATOR;SGSA;1499/1;;
;AREA LOCATION OR NAME;;;4H;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES VERIFIED;SUB;2577;;
