FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;NUMBER OF SORTIES, 0-9999;;;1A;NUMBER OF SORTIES, 0-9999;;1044/32;1-4;M
2;PARENT UNIT;;;2A;UNIT;;1022/57;1-30;M
;PARENT UNIT;;;2B;ICAO BASE CODE;ICAO;1125/2;;
;PARENT UNIT;;;2C;BASE NAME;BASE;1022/104;;
3;AIRCRAFT NUMBER AND TYPE;;;3A;AIRCRAFT NUMBER AND TYPE;;2160;4-9;O
4;CALL SIGN;;;4A;CALL SIGN;;1129/1;1-38;M
5;AIRCRAFT WEAPON LOAD;;;5A;AIRCRAFT WEAPON LOAD;;1514/1;1-38;O
6;START TIME;;;6A;DAY-TIME START;;2000;7-10;M
;START TIME;;;6B;DAY-TIME AND MONTH OF START;;2030;;
7;STOP TIME;;;7A;DAY-TIME STOP;;2000;7-10;M
;STOP TIME;;;7B;DAY-TIME AND MONTH OF STOP;;2030;;
8;MISSION TYPE;;;8A;AIR SUPPORT MISSION TYPE NUMERIC CODE;;1317/4;2-10;M
;MISSION TYPE;;;8B;AIRCRAFT TASK OR MISSION;;1285/9;;
9;PRIMARY FREQUENCY DESIGNATOR OR CHANNEL;;;9A;FREQUENCY DESIGNATOR;;1396/1;1-8;M
;PRIMARY FREQUENCY DESIGNATOR OR CHANNEL;;;9B;MARITIME COMMUNICATIONS PRIMARY CHANNEL NUMBER;;2080;;
10;ALTERNATE FREQUENCY DESIGNATOR OR CHANNEL;;;10A;FREQUENCY DESIGNATOR;;1396/1;1-8;M
;ALTERNATE FREQUENCY DESIGNATOR OR CHANNEL;;;10B;MARITIME COMMUNICATIONS ALTERNATE CHANNEL NUMBER;;2080;;
11;TYPE OF AIRCRAFT CONTROL;;;11A;TYPE OF AIRCRAFT CONTROL;;1395/2;5-18;M
