FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;SURFACE CONTACT DESIGNATOR;;;1A;NATO SURFACE CONTACT DESIGNATOR;;2154;4-5;M
;SURFACE CONTACT DESIGNATOR;;;1B;NATO EXERCISE SURFACE CONTACT DESIGNATOR;;2155;;
;SURFACE CONTACT DESIGNATOR;;;1C;NATO UNDESIGNATED UNIT;;1028/25;;
2;VESSEL TYPE;;;2A;VESSEL TYPE;;1166/1;2-8;M
3;FLAG;;;3A;GEOGRAPHICAL ENTITY;;1026/1;2-2;M
4;UNIT IDENTIFICATION;;;4A;SHIP NAME;NAME;1022/49;1-38;M
;UNIT IDENTIFICATION;;;4B;CLASS AND PENNANT NUMBER;CP;1062/1;;
;UNIT IDENTIFICATION;;;4C;NAME OF SHIP CLASS;CLASS;1022/35;;
;UNIT IDENTIFICATION;;;4D;UNKNOWN SURFACE CONTACT;;1139/4;;
5;CONTACT LOCATION;;;5A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;O
;CONTACT LOCATION;;;5B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;CONTACT LOCATION;;;5C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;CONTACT LOCATION;;;5D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;CONTACT LOCATION;;;5E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;CONTACT LOCATION;;;5F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;CONTACT LOCATION;;;5G;PLACE NAME;NAME;1022/170;;
6;TIME OF CONTACT;;;6A;DAY-TIME OF CONTACT;;2000;5-7;O
;TIME OF CONTACT;;;6B;DAY-MONTH NAME;;2067;;
7;CONTACT MOVEMENT;;;7A;COURSE IN DEGREES TRUE AND SPEED IN KNOTS;;2025;2-6;O
;CONTACT MOVEMENT;;;7B;MOVEMENT ACTIVITY;;1095/4;;
8;CONTACT VALIDITY;;;8A;CONTACT VALIDITY;;2049;2-2;O
